,topic,introduction,name,price,cover,authors,translator,publisher,printer,id,weight,language,format,width,height,publish_date,pages
0,du-lich-1,"Một quyển sách để tôn vinh ẩm thực vòng quanh châu Á sẽ được xuất hiện, cùng với những “gương mặt vàng trong làng ăn uống”, dành tặng bạn một cuộc phiêu lưu ngon lành nhất từ trước đến nay.Ăn là niềm vui, là sở thích, là… đam mê của tất cả mọi người. Chả thế mà khi muốn hẹn hò bạn bè, gà bông, câu hỏi đầu tiên của chúng ta luôn là “Ăn gì, ở đâu? Và khi chuẩn bị khám phá một điểm đến mới, lên list những món ăn đặc sản, những quán ngon view đẹp, những nhà hàng nức tiếng… luôn là ưu tiên hàng đầu. Hãy yên tâm nếu sắp tới bạn đang có dự định đến du lịch một nước nào đó ở châu Á! Các travel blogger và food blogger đình đám như Travip, Vinh Gấu, Lý Thành Cơ, Ăn Sập Sài Gòn, Ninh Tito, Esheep Phan Anh, Kiên Lê (@thepandasflavor)… sẽ tư vấn cho bạn ăn gì, trải nghiệm ẩm thực như thế nào để có một hành trình đáng nhớ từ Đông Nam Á sang Đông Bắc Á rồi về đến Việt Nam nhé!Không chỉ là một cuốn cẩm nang ẩm thực các nước châu Á, cuốn sách này còn đem đến những sắc màu ẩm thực riêng biệt, truyền cho bạn những cảm hứng và hiểu biết về nền ẩm thực các nước ở phương Đông huyền bí. Vì sao dân Thái thích mê những thử thách chua cay trong món ăn, vì sao món thịt bò đắt đỏ nhất Nhật Bản lại cuốn hút đến vậy, vì sao thịt nướng trở thành biểu tượng ẩm thực Hàn Quốc, vì sao đến Đài Loan không nên bỏ qua món mì… Những câu chuyện ẩm thực hấp dẫn sẽ đưa bạn du hành cùng các cây bút trứ danh qua bài viết và hình ảnh ngon chảy nước miếng.Mời bạn đón đọc.
Một quyển sách để tôn vinh ẩm thực vòng quanh châu Á sẽ được xuất hiện, cùng với những “gương mặt vàng trong làng ăn uống”, dành tặng bạn một cuộc phiêu lưu ngon lành nhất từ trước đến nay.
Ăn là niềm vui, là sở thích, là… đam mê của tất cả mọi người. Chả thế mà khi muốn hẹn hò bạn bè, gà bông, câu hỏi đầu tiên của chúng ta luôn là “Ăn gì, ở đâu? Và khi chuẩn bị khám phá một điểm đến mới, lên list những món ăn đặc sản, những quán ngon view đẹp, những nhà hàng nức tiếng… luôn là ưu tiên hàng đầu. Hãy yên tâm nếu sắp tới bạn đang có dự định đến du lịch một nước nào đó ở châu Á! Các travel blogger và food blogger đình đám như Travip, Vinh Gấu, Lý Thành Cơ, Ăn Sập Sài Gòn, Ninh Tito, Esheep Phan Anh, Kiên Lê (@thepandasflavor)… sẽ tư vấn cho bạn ăn gì, trải nghiệm ẩm thực như thế nào để có một hành trình đáng nhớ từ Đông Nam Á sang Đông Bắc Á rồi về đến Việt Nam nhé!
Không chỉ là một cuốn cẩm nang ẩm thực các nước châu Á, cuốn sách này còn đem đến những sắc màu ẩm thực riêng biệt, truyền cho bạn những cảm hứng và hiểu biết về nền ẩm thực các nước ở phương Đông huyền bí. Vì sao dân Thái thích mê những thử thách chua cay trong món ăn, vì sao món thịt bò đắt đỏ nhất Nhật Bản lại cuốn hút đến vậy, vì sao thịt nướng trở thành biểu tượng ẩm thực Hàn Quốc, vì sao đến Đài Loan không nên bỏ qua món mì… Những câu chuyện ẩm thực hấp dẫn sẽ đưa bạn du hành cùng các cây bút trứ danh qua bài viết và hình ảnh ngon chảy nước miếng.",Ăn Sập Châu Á,81000,https://www.vinabook.com/images/thumbnails/product/240x/355380_p90700mscan0001.jpg,,,Báo SVVN - Hoa Học Trò,Hoa Học Trò,8938507001348,352.0,Tiếng Việt,Bìa mềm,17.0,23.0,04/02/2020,138.0
1,du-lich-1,"Khách du lịch nước ngoài có thể thấy cuộc sống của chúng ta còn nghèo về mặt vật chất nhưng không thể xem chúng ta thiếu văn hóa. Không thể để đồng tiền làm mất giá trị cao đẹp về uy tín của thương hiệu du lịch. Cần khẳng định văn hóa phải song hành với du lịch. Văn hóa là nền tảng tinh thần và động lực của phát triển du lịch. Nếu văn hóa xuống cấp thì du lịch không thể phát triển bền vững vì văn hóa là gốc rễ của sự phát triển du lịch.
Mời bạn đón đọc.",Những Mảng Màu Du Lịch Việt Nam,108000,https://www.vinabook.com/images/thumbnails/product/240x/353233_p90563mscan0017.jpg,"Phan Huy Xu, Võ Văn Thành",,Nxb Tổng hợp TP.HCM,NXBTH TPHCM,9786045897478,506.0,Tiếng Việt,Bìa mềm,16.0,24.0,12/2019,320.0
2,du-lich-1,"Thay vì ảo tưởng lấy bản thân mình làm khuôn vàng thước ngọc để mà đo thế giới, văn hóa Nhật Bản hướng người ta đến việc tự hiểu mình để tìm cho mình một chỗ đứng phù hợp trong thế giới. Để thế giới là vườn hoa muôn nghìn hương sắc thì mỗi người phải là một bông hoa có vẻ đẹp riêng tỏa ra từ những tố chất riêng, nhờ tương hợp với vị trí đặc thù mà trở nên rạng ngời lung linh hay dịu dàng nhuần nhị. Tồn tại ổn thỏa bên cạnh cái khác mình là cách sáng suốt của sự khẳng định mình.
Mời bạn đón đọc.",Quen Lạ Xứ Người,84000,https://www.vinabook.com/images/thumbnails/product/240x/353252_p90561mscan0001.jpg,Lam Anh,,Nxb Tổng hợp TP.HCM,NXBTH TPHCM,9786045898154,462.0,Tiếng Việt,Bìa mềm,21.0,21.0,12/2019,248.0
3,du-lich-1,"Cuốn sách là những ghi chép và mô tả của tác giả về hành trình du lịch của bản thân qua một số quốc gia châu Âu, từ đó chia sẻ những trải nghiệm chân thực và mới mẻ về văn hóa, lịch sử, ẩm thực và con người nơi xứ lạ. Châu Âu có gì lạ qua đôi mắt của Misa Gjone? Đó là một châu Âu cổ kính với những công trình kiến trúc lâu đời. Đó là một châu Âu đáng yêu với những sắc màu rực rỡ của chậu phong lữ, trái rừng chín mọng. Đó là một châu Âu sôi động với hội hè miên man; những lần đi hytte, những buổi fika cùng gia đình và bạn bè. Đó còn là một châu Âu đầy “tội lỗi” với những cô nàng mang ánh mắt khắc khoải trên phố đèn đỏ, những mảng sáng – tối đối lập chan chát của cuộc sống hiện đại…Mời bạn đón đọc.
Cuốn sách là những ghi chép và mô tả của tác giả về hành trình du lịch của bản thân qua một số quốc gia châu Âu, từ đó chia sẻ những trải nghiệm chân thực và mới mẻ về văn hóa, lịch sử, ẩm thực và con người nơi xứ lạ. 
Châu Âu có gì lạ qua đôi mắt của Misa Gjone? Đó là một châu Âu cổ kính với những công trình kiến trúc lâu đời. Đó là một châu Âu đáng yêu với những sắc màu rực rỡ của chậu phong lữ, trái rừng chín mọng. Đó là một châu Âu sôi động với hội hè miên man; những lần đi hytte, những buổi fika cùng gia đình và bạn bè. Đó còn là một châu Âu đầy “tội lỗi” với những cô nàng mang ánh mắt khắc khoải trên phố đèn đỏ, những mảng sáng – tối đối lập chan chát của cuộc sống hiện đại…",Châu Âu Có Gì Lạ Không Em?,93000,https://www.vinabook.com/images/thumbnails/product/240x/345308_p88420mchauau.jpg,Misa Gjone,,Nxb Thế giới,Alpha books,8936158590808,286.0,Tiếng Việt,Bìa mềm,13.0,20.5,19/08/2019,252.0
4,du-lich-1,"Nhật Bản là quốc gia nổi tiếng với nền văn hóa đậm chất cổ truyền, vừa tỉ mỉ, tinh tế, lại vừa giản dị, gần gũi. Nói đến Nhật Bản là chúng ta nghĩ ngay đến cảnh sắc thiên nhiên tươi đẹp, những bộ kimono rạng rỡ, những món ăn hấp dẫn, những nghệ nhân khéo léo, những môn võ cổ truyền độc đáo…và đặc biệt là những con người lịch sự, chu đáo. Cùng với sự phát triển mạnh mẽ của khoa học công nghệ, bên cạnh vẻ náo nhiệt, phồn hoa, đầy hiện đại, đất nước mặt trời mọc không những vẫn lưu giữ và truyền thừa được những giá trị truyền thống tốt đẹp này mà còn phát triển sao cho phù hợp với hiện tại.Hãy cùng tìm hiểu văn hóa truyền thống của Nhật Bản để khám phá nét đặc sắc, thú vị và đáng yêu của nó, bạn nhé! Mời bạn đón đọc.
Nhật Bản là quốc gia nổi tiếng với nền văn hóa đậm chất cổ truyền, vừa tỉ mỉ, tinh tế, lại vừa giản dị, gần gũi. Nói đến Nhật Bản là chúng ta nghĩ ngay đến cảnh sắc thiên nhiên tươi đẹp, những bộ kimono rạng rỡ, những món ăn hấp dẫn, những nghệ nhân khéo léo, những môn võ cổ truyền độc đáo…và đặc biệt là những con người lịch sự, chu đáo. 
Cùng với sự phát triển mạnh mẽ của khoa học công nghệ, bên cạnh vẻ náo nhiệt, phồn hoa, đầy hiện đại, đất nước mặt trời mọc không những vẫn lưu giữ và truyền thừa được những giá trị truyền thống tốt đẹp này mà còn phát triển sao cho phù hợp với hiện tại.
Hãy cùng tìm hiểu văn hóa truyền thống của Nhật Bản để khám phá nét đặc sắc, thú vị và đáng yêu của nó, bạn nhé!",Tìm Hiểu Văn Hóa Truyền Thống Nhật Bản,47000,https://www.vinabook.com/images/thumbnails/product/240x/336669_p87378mscan0001.jpg,Takao Itoi,Nguyễn Thị Lan Anh,Nxb Trẻ,NXB Trẻ,8934974162049,176.0,Tiếng Việt,Bìa mềm,19.0,26.0,05/2019,62.0
5,du-lich-1,"""Nice To Meet You!"" - Xin Chào! Bạn Đi Cùng Đường Với Tôi Chứ?“Nice to meet you!” kể về những gì một cô gái hai mươi tư tuổi – Mai Lan – đã trải qua trong thời gian một năm sống cuộc đời chỉ như mình mong muốn.Mai Lan đi du lịch. Nhưng là đi bằng “đi nhờ”, “ngủ nhờ”. Vừa đi vừa kiếm tiền. Vừa đi vừa kết bạn. Cuốn sách tên “Nice to meet you!” do những ngày rong ruổi trên đường, đây là cụm từ được Mai Lan sử dụng nhiều nhất và thường xuyên nhất. Dù ban đầu có thể nó chỉ mang ý nghĩa như một lời chào. Nhưng sau cuộc gặp gỡ, bằng những câu chuyện, những nụ cười và sự chia sẻ, nó trở thành một cụm từ kết nối và thể hiện niềm hạnh phúc, phần nào cảm kích nữa “Thật vui được gặp bạn!”Trong cuốn sách này, có thể bạn sẽ gặp những địa danh thấy quen, hoặc những địa danh thấy lạ, nhưng Mai Lan sẽ không nhắc đến bất kỳ một thông tin nào bạn có thể tìm thấy như trong những quyển sách hướng dẫn du lịch hay mạng Internet. Những gì đẹp nhất trong quyển sách này, là con người và lòng nhân ái của họ. Mai Lan muốn sau quyển sách này, mọi người mở lòng mình và tin tưởng nhau nhiều hơn, hào phóng hơn những nụ cười và hào phóng hơn với cuộc đời.Cũng trong sách, Mai Lan viết về chính bản thân mình như một người hoàn toàn bình thường, thực hiện những chuyến đi mà nhiều người nhìn vào xuýt xoa, thậm chí có rất nhiều người nghĩ tôi giàu có lắm để đi được nhiều như vậy. Cuốn sách có ham muốn truyền một động lực lớn lao, cho tất cả những người, có thể trẻ hoặc không, muốn đi và khám phá thế giới. Có rất nhiều cách để đi du lịch. Hãy học hỏi không ngừng và mạnh dạn với những gì còn lạ lẫm. Đừng để Thế giới tươi đẹp và rộng lớn ngoài kia chỉ được nhìn qua chiếc điện thoại hay màn hình máy vi tính. Đừng để cuộc đời mình chỉ xoay quanh việc phục vụ những áp lực dồn xuống từ phía gia đình và xã hội. Tìm ra mơ ước để sống có ý nghĩa và có trách nhiệm với chính cuộc đời mình, mới là điều khiến bạn hạnh phúc, khiến một xã hội hạnh phúc.Mời bạn đón đọc.
""Nice To Meet You!"" - Xin Chào! Bạn Đi Cùng Đường Với Tôi Chứ?
“Nice to meet you!” kể về những gì một cô gái hai mươi tư tuổi – Mai Lan – đã trải qua trong thời gian một năm sống cuộc đời chỉ như mình mong muốn.
Mai Lan đi du lịch. Nhưng là đi bằng “đi nhờ”, “ngủ nhờ”. Vừa đi vừa kiếm tiền. Vừa đi vừa kết bạn. Cuốn sách tên “Nice to meet you!” do những ngày rong ruổi trên đường, đây là cụm từ được Mai Lan sử dụng nhiều nhất và thường xuyên nhất. Dù ban đầu có thể nó chỉ mang ý nghĩa như một lời chào. Nhưng sau cuộc gặp gỡ, bằng những câu chuyện, những nụ cười và sự chia sẻ, nó trở thành một cụm từ kết nối và thể hiện niềm hạnh phúc, phần nào cảm kích nữa “Thật vui được gặp bạn!”
Trong cuốn sách này, có thể bạn sẽ gặp những địa danh thấy quen, hoặc những địa danh thấy lạ, nhưng Mai Lan sẽ không nhắc đến bất kỳ một thông tin nào bạn có thể tìm thấy như trong những quyển sách hướng dẫn du lịch hay mạng Internet. 
Những gì đẹp nhất trong quyển sách này, là con người và lòng nhân ái của họ. Mai Lan muốn sau quyển sách này, mọi người mở lòng mình và tin tưởng nhau nhiều hơn, hào phóng hơn những nụ cười và hào phóng hơn với cuộc đời.
Cũng trong sách, Mai Lan viết về chính bản thân mình như một người hoàn toàn bình thường, thực hiện những chuyến đi mà nhiều người nhìn vào xuýt xoa, thậm chí có rất nhiều người nghĩ tôi giàu có lắm để đi được nhiều như vậy. Cuốn sách có ham muốn truyền một động lực lớn lao, cho tất cả những người, có thể trẻ hoặc không, muốn đi và khám phá thế giới. Có rất nhiều cách để đi du lịch. Hãy học hỏi không ngừng và mạnh dạn với những gì còn lạ lẫm. 
Đừng để Thế giới tươi đẹp và rộng lớn ngoài kia chỉ được nhìn qua chiếc điện thoại hay màn hình máy vi tính. Đừng để cuộc đời mình chỉ xoay quanh việc phục vụ những áp lực dồn xuống từ phía gia đình và xã hội. Tìm ra mơ ước để sống có ý nghĩa và có trách nhiệm với chính cuộc đời mình, mới là điều khiến bạn hạnh phúc, khiến một xã hội hạnh phúc.","""Nice To Meet You!""",76000,https://www.vinabook.com/images/thumbnails/product/240x/312938_p84298mbiatruoc.jpg,Mai Lan,,Nxb Thế giới,AZ books,9786047749645,374.0,Tiếng Việt,Bìa mềm,14.5,20.0,24/08/2018,296.0
6,du-lich-1,"Rosie Nguyễn tên thật là Nguyễn Hoàng Nguyên, một tác giả sách, blogger/facebooker về văn hóa và du lịch, giảng viên các lớp học kỹ năng. Ngoài việc viết lách và giảng dạy thì là một người tự học, một ta ba lô, một kẻ mộng mơ và tràn đầy tình yêu cuộc sống.
Quyển sách đầu tiên của Rosie Nguyễn, nay trở lại với một diện mạo mới và một quốc gia mới mà trước đây tác giả chưa có dịp nhắc đến. Ta ba lô trên đất Á không chỉ là cẩm nang du lịch bụi dành cho những ai yêu thích khám phá Đông Nam Á, mà còn là dấu ấn rất riêng của Rosie Nguyễn khi một mình đeo ba lô, tay cầm bản đồ ngược xuôi khắp các nước láng giềng để đi tìm chính mình và theo đuổi đam mê. “Ta ba lô trên đất Á là quyển du ký của tác giả Việt Nam yêu thích nhất từ trước đến nay của tôi. Sách nhẹ nhàng, tình cảm và chứa đầy cảm xúc của mỗi vùng đất tác giả dạo bước qua. Mỗi trang sách, câu chuyện là một cánh cửa dẫn dắt những trái tim đam mê phiêu lưu vào những chốn vừa lạ vừa quen ở các quốc gia Đông Nam Á cũng như các nước láng giềng của quê hương Việt Nam. Đây chắc chắn còn là quyển sách gối đầu giường cực kỳ hữu ích cho những bạn trẻ đang chập chững những bước chân đầu tiên để bước ra thế giới ngoài kia, để tìm đến những chân trời mới, để thấy thế gian này thật rộng lớn và đẹp đẽ biết bao.”- Trần Đặng Đăng Khoa (chàng trai đi vòng quanh thế giới bằng xe máy) “Ta ba lô trên đất Á là ba lô hành trang đầy ắp kiến thức và cảm xúc không thể thiếu để những bạn trẻ Việt trải nghiệm đất Á, rồi vững vàng bản lĩnh để in dấu năm châu.”- Nhà báo, nhiếp ảnh gia Ngô Trần Hải An (biệt danh “phượt thủ Quỷ Cốc Tử”)Mời bạn đón đọc.
Quyển sách đầu tiên của Rosie Nguyễn, nay trở lại với một diện mạo mới và một quốc gia mới mà trước đây tác giả chưa có dịp nhắc đến. Ta ba lô trên đất Á không chỉ là cẩm nang du lịch bụi dành cho những ai yêu thích khám phá Đông Nam Á, mà còn là dấu ấn rất riêng của Rosie Nguyễn khi một mình đeo ba lô, tay cầm bản đồ ngược xuôi khắp các nước láng giềng để đi tìm chính mình và theo đuổi đam mê.
 “Ta ba lô trên đất Á là quyển du ký của tác giả Việt Nam yêu thích nhất từ trước đến nay của tôi. Sách nhẹ nhàng, tình cảm và chứa đầy cảm xúc của mỗi vùng đất tác giả dạo bước qua. Mỗi trang sách, câu chuyện là một cánh cửa dẫn dắt những trái tim đam mê phiêu lưu vào những chốn vừa lạ vừa quen ở các quốc gia Đông Nam Á cũng như các nước láng giềng của quê hương Việt Nam. Đây chắc chắn còn là quyển sách gối đầu giường cực kỳ hữu ích cho những bạn trẻ đang chập chững những bước chân đầu tiên để bước ra thế giới ngoài kia, để tìm đến những chân trời mới, để thấy thế gian này thật rộng lớn và đẹp đẽ biết bao.”
- Trần Đặng Đăng Khoa (chàng trai đi vòng quanh thế giới bằng xe máy)
 “Ta ba lô trên đất Á là ba lô hành trang đầy ắp kiến thức và cảm xúc không thể thiếu để những bạn trẻ Việt trải nghiệm đất Á, rồi vững vàng bản lĩnh để in dấu năm châu.”
- Nhà báo, nhiếp ảnh gia Ngô Trần Hải An (biệt danh “phượt thủ Quỷ Cốc Tử”)
Mời bạn đón đọc.",Ta Ba Lô Trên Đất Á,92000,https://www.vinabook.com/images/thumbnails/product/240x/311839_p83893mbatrc.jpg,Rosie Nguyễn,,Nxb Hội Nhà Văn,Nhã Nam,8935235217607,484.0,Tiếng Việt,Bìa mềm,14.0,20.5,08/2018,412.0
7,du-lich-1,"“Dễ thương, hài hước và ngập tràn những chi tiết thú vị. Cuốn sách này vừa có những thông tin hữu ích vừa là góc nhìn cá nhân về Nhật Bản - nơi mà tôi luôn mong muốn được trở lại!”- Kate Williamson, tác giả cuốn “A Year in Japan”“Nhật kí du lịch Nhật Bản của Christine sẽ gợi cho bạn nhớ về những chuyến du lịch thời thanh xuân của chính mình và đưa bạn du hành cùng cô ấy trong niềm vui thích tuyệt vời với những khám phá và phiêu lưu của tuổi trẻ. Ngập tràn đồ ăn ngon và những góc quan sát hài hước, Christine kể câu chuyện của mình bằng bộ óc và ngòi bút của những người già dặn hơn cô rất nhiều, trong khi vẫn có thể bộc lộ sự trẻ trung của tuổi mười sáu và ngắm nhìn những cậu trai dễ thương trên tàu điện.”- Lucy Knisley, tác giả cuốn “French Milk and Relish: My Life in the Kitchenn”“Tôi đã cười lớn khi đọc! Tranh vẽ thật tuyệt, và sự quan sát thật thông minh. Đây là cuốn sách hoàn hảo cho bất kì ai du lịch Nhật Bản lần đầu tiên.”- Hiroko Yoda, đồng tác giả cuốn “Ninja Attack! True Tales of Assassins, Samurai, and Outlaws”Mời bạn đón đọc.
“Dễ thương, hài hước và ngập tràn những chi tiết thú vị. Cuốn sách này vừa có những thông tin hữu ích vừa là góc nhìn cá nhân về Nhật Bản - nơi mà tôi luôn mong muốn được trở lại!”
- Kate Williamson, tác giả cuốn “A Year in Japan”
“Nhật kí du lịch Nhật Bản của Christine sẽ gợi cho bạn nhớ về những chuyến du lịch thời thanh xuân của chính mình và đưa bạn du hành cùng cô ấy trong niềm vui thích tuyệt vời với những khám phá và phiêu lưu của tuổi trẻ. Ngập tràn đồ ăn ngon và những góc quan sát hài hước, Christine kể câu chuyện của mình bằng bộ óc và ngòi bút của những người già dặn hơn cô rất nhiều, trong khi vẫn có thể bộc lộ sự trẻ trung của tuổi mười sáu và ngắm nhìn những cậu trai dễ thương trên tàu điện.”
- Lucy Knisley, tác giả cuốn “French Milk and Relish: My Life in the Kitchenn”
“Tôi đã cười lớn khi đọc! Tranh vẽ thật tuyệt, và sự quan sát thật thông minh. Đây là cuốn sách hoàn hảo cho bất kì ai du lịch Nhật Bản lần đầu tiên.”
- Hiroko Yoda, đồng tác giả cuốn “Ninja Attack! True Tales of Assassins, Samurai, and Outlaws”",Tokyo Du Hí,99000,https://www.vinabook.com/images/thumbnails/product/240x/311083_p83551mtokyo.jpg,Christine Mari Inzer,Nguyễn Bảo Anh,NXB Kim Đồng,NXB Kim Đồng,9786042112949,352.0,Tiếng Việt,Bìa mềm,18.0,24.0,06/2018,128.0
8,du-lich-1,"Nếu bạn là người đang kiếm tìm lời giải đáp về hạnh phúc, nếu bạn vẫn còn đang băn khoăn với cuộc sống, nếu bạn khát khao mở mang cả tri thức và tâm hồn mình, thì Đường biên hạnh phúc chính là cuốn sách dành cho bạn.
Nổi tiếng là một cô gái từng đạp xe từ Việt Nam đến Paris, sự trở lại lần này của Kim Ngân được đánh dấu bằng hành trình 154 ngày đạp xe xuyên Đông Nam Á. Đường biên hạnh phúc ghi lại trải nghiệm tiếp xúc những nền văn hóa kề cận với đất nước - con người Việt Nam thông qua 7 quốc gia Campuchia, Lào, Thái Lan, Myanmar, Malaysia, Singapore và Indonesia của chính Kim Ngân; để rồi ở cuối con đường, điều Ngân đem đến cho người đọc không chỉ dừng lại ở khung cảnh kỳ vĩ, các khu di tích lịch sử trường tồn cùng thời gian, hay chuyện gặp gỡ thêm những người bạn mới, mà xa hơn – là những trải nghiệm về cuộc sống qua cái nhìn của một phụ nữ trẻ, về tình yêu và sự tự do, về niềm đam mê và sự chọn lựa riêng của mỗi người; đồng thời tái hiện lại cuộc đời và quan điểm sống của những người phụ nữ trong khu vực và trên thế giới.
Cầm trên tay cuốn sách mới nhất này của Kim Ngân, bạn sẽ được nghe Ngân kể chuyện ở những cửa khẩu - ranh giới của từng quốc gia – đồng thời cũng được “chạm” đến những đường biên - ranh giới trong cảm nhận, suy nghĩ, hành động của mỗi con người.
Đường biên hạnh phúc là câu chuyện riêng của Kim Ngân, nhưng lại không xa lạ với bất cứ người trẻ tuổi nào. Hãy quan sát và trải nghiệm, để biết hạnh phúc luôn hiện hữu trong từng giây phút, khi bạn đủ can đảm sống cuộc đời chính bạn lựa chọn.
“Nếu tuổi trẻ không quyết tâm gạt bỏ mọi thứ sang một bên để thực hiện mơ ước thì phải đợi đến bao giờ?”
- Nguyễn Thị Kim Ngân -",Đường Biên Hạnh Phúc,59000,https://www.vinabook.com/images/thumbnails/product/240x/306007_p82800mbatrc.jpg,Nguyễn Thị Kim Ngân,,Nxb Thế giới,AZ books,9786047745371,286.0,Tiếng Việt,Bìa mềm,14.5,20.0,06/2018,224.0
9,du-lich-1,"Sau 30 năm đổi mới, nền kinh tế Việt Nam nói chung và ngành Du lịch nói riêng đã phát triển mạnh mẽ và đạt nhiều thành tựu to lớn, tuy nhiên hiện nay ngành du lịch nước ta còn bộc lộ nhiều yếu kém và tăng trưởng chậm so với một số nước ASEAN.Để củng cố những yếu điểm về ngành du lịch, hai tác giả gồm Phan Huy Xu – Võ Văn Thành, đã cho ra đời tác phẩm “Du lịch Việt Nam – Từ lý thuyết đến thực tiễn”, nhằm đáp ứng nhu cầu du lịch Việt Nam bước vào thời kỳ hội nhập quốc tế.Tác phẩm tập trung những bài viết luận về du lịch học nói chung và du lịch Việt Nam nói riêng. Ngành Du lịch Việt Nam phải gấp rút giải quyết những vấn đề thực tiễn như: ô nhiễm môi trường, sản phẩm du lịch, về đào tạo, làng nghề, thái độ ứng xử với du khách, xây dựng cơ sở hạ tầng và kỹ thuật, xây dựng sản phẩm đặc thù, nâng cao chất lượng dịch vụ du lịch, đào tạo nguồn nhân lực chuyên nghiệp, nâng cao năng lực cạnh tranh trên thị trường du lịch quốc tế … Đồng thời, ngành Du lịch cần tập trung nghiên cứu những vấn đề lý luận về du lịch học, văn hóa du lịch, quản trị du lịch để làm cơ sở vững chắc cho sự phát triển du lịch bền vững.Mời bạn đón đọc.
Sau 30 năm đổi mới, nền kinh tế Việt Nam nói chung và ngành Du lịch nói riêng đã phát triển mạnh mẽ và đạt nhiều thành tựu to lớn, tuy nhiên hiện nay ngành du lịch nước ta còn bộc lộ nhiều yếu kém và tăng trưởng chậm so với một số nước ASEAN.
Để củng cố những yếu điểm về ngành du lịch, hai tác giả gồm Phan Huy Xu – Võ Văn Thành, đã cho ra đời tác phẩm “Du lịch Việt Nam – Từ lý thuyết đến thực tiễn”, nhằm đáp ứng nhu cầu du lịch Việt Nam bước vào thời kỳ hội nhập quốc tế.
Tác phẩm tập trung những bài viết luận về du lịch học nói chung và du lịch Việt Nam nói riêng. Ngành Du lịch Việt Nam phải gấp rút giải quyết những vấn đề thực tiễn như: ô nhiễm môi trường, sản phẩm du lịch, về đào tạo, làng nghề, thái độ ứng xử với du khách, xây dựng cơ sở hạ tầng và kỹ thuật, xây dựng sản phẩm đặc thù, nâng cao chất lượng dịch vụ du lịch, đào tạo nguồn nhân lực chuyên nghiệp, nâng cao năng lực cạnh tranh trên thị trường du lịch quốc tế … Đồng thời, ngành Du lịch cần tập trung nghiên cứu những vấn đề lý luận về du lịch học, văn hóa du lịch, quản trị du lịch để làm cơ sở vững chắc cho sự phát triển du lịch bền vững.",Du Lịch Việt Nam Từ Lý Thuyết Đến Thực Tiễn,95000,https://www.vinabook.com/images/thumbnails/product/240x/300812_p81941mdulich.jpg,"Võ Văn Thành, Phan Huy Xu",,Nxb Tổng hợp TP.HCM,NXBTH TPHCM,9786045870952,594.0,Tiếng Việt,Bìa mềm,16.0,24.0,04/2018,384.0
