,topic,introduction,name,price,cover,authors,translator,publisher,printer,id,weight,language,format,width,height,publish_date,pages
0,khoa-hoc-co-ban,"Illuminatomy - Soi sáng cơ thể người là cuốn sách giải phẫu học độc đáo có một không hai. Cuốn sách sẽ đưa trẻ vào một cuộc phiêu lưu trực quan ngoạn mục vào trong cơ thể người.Thông qua những lăng kính vạn hoa rực rỡ bên trong trang sách, các em sẽ được nhìn sâu bên trong cơ thể người và khám phá hàng loạt những bí ẩn đáng kinh ngạc nhất của cơ thểBằng cách sử dụng mắt kính ba màu thần kì trên chính chiếc smartphone của mình, trẻ sẽ học được về cách cơ thể mình hoạt động như thế nào. Trẻ có thể sử dụng lăng kính màu đỏ để quan sát bộ xương, lăng kính màu xanh lá quan sát các cơ và chỉnh sang màu xanh lam để quan sát các cơ quan duy trì sự sống cho cơ thể.Sau các hình minh họa chi tiết và sống động là hàng loạt các thông tin thú vị về từng hệ cơ quan trong cơ thể. Một cuốn sách bách khoa về cơ thể người không chỉ dành riêng cho trẻ nhỏ mà cho tất cả những ai quan tâm tới sức khỏe của mình và muốn biết cơ thể mình hoạt động ra sao.Illumanatomy - Soi sáng cơ thể người là cuốn bách khoa toàn thư về giải phẫu học đầy sáng tạo với những trang in màu 3 trong 1 tuyệt đẹp đáng kinh ngạc. Cuốn sách này sẽ dẫn dắt độc giả vào hành trình khám phá cơ thể người theo một cách đầy mới mẻ chưa từng có trước đây.
Illuminatomy - Soi sáng cơ thể người là cuốn sách giải phẫu học độc đáo có một không hai. Cuốn sách sẽ đưa trẻ vào một cuộc phiêu lưu trực quan ngoạn mục vào trong cơ thể người.
Thông qua những lăng kính vạn hoa rực rỡ bên trong trang sách, các em sẽ được nhìn sâu bên trong cơ thể người và khám phá hàng loạt những bí ẩn đáng kinh ngạc nhất của cơ thể
Bằng cách sử dụng mắt kính ba màu thần kì trên chính chiếc smartphone của mình, trẻ sẽ học được về cách cơ thể mình hoạt động như thế nào. Trẻ có thể sử dụng lăng kính màu đỏ để quan sát bộ xương, lăng kính màu xanh lá quan sát các cơ và chỉnh sang màu xanh lam để quan sát các cơ quan duy trì sự sống cho cơ thể.
Sau các hình minh họa chi tiết và sống động là hàng loạt các thông tin thú vị về từng hệ cơ quan trong cơ thể. Một cuốn sách bách khoa về cơ thể người không chỉ dành riêng cho trẻ nhỏ mà cho tất cả những ai quan tâm tới sức khỏe của mình và muốn biết cơ thể mình hoạt động ra sao.
Illumanatomy - Soi sáng cơ thể người là cuốn bách khoa toàn thư về giải phẫu học đầy sáng tạo với những trang in màu 3 trong 1 tuyệt đẹp đáng kinh ngạc. Cuốn sách này sẽ dẫn dắt độc giả vào hành trình khám phá cơ thể người theo một cách đầy mới mẻ chưa từng có trước đây.
Mời bạn đón đọc!",Illumanatomy - Soi Sáng Cơ Thể Người,170000,https://www.vinabook.com/images/thumbnails/product/240x/363671_p92788mimage195509132276.jpg,"Carnovsky, Kate Davies",Diệu Hằng,Nxb Hà Nội,Đinh Tị,8935212350099,260.0,Tiếng Việt,Bìa mềm,28.0,34.0,11/2020,64
1,khoa-hoc-co-ban,"Bạn sẽ làm gì nếu như một ngày bị mắc kẹt giữa vùng lãnh thổ có dịch bệnh hoành hành, lạc ở nơi hoang dã, bị móc túi khi đi du lịch ở đất nước xa lạ, hay phải thoát ngay khỏi một vụ hỏa hoạn ở nhà cao tầng… ?  Clint Emerson – một cựu Đặc vụ SEAL, lực lượng tác chiến đặc biệt của Hải quân Hoa Kỳ – muốn bạn có được sự chuẩn bị tốt nhất trong cuốn sách 100 kỹ năng sinh tồn này.Rõ ràng, chi tiết và được trình bày dễ hiểu, cuốn sách này phác thảo chi tiết nhiều chiến lược giúp bảo vệ bạn và những người bạn yêu thương, dạy bạn cách suy nghĩ và hành động như một thành viên của lực lượng quân đội tinh nhuệ Hoa Kỳ. 100 kỹ năng sinh tồn thực sự là cuốn cẩm nang vô giá. Bởi lẽ, khi nguy hiểm xảy ra, bạn chẳng có nhiều thời gian cho những chỉ dẫn phức tạp đâu. -----Tác giảClint Emerson là một cựu Đặc vụ SEAL, ông đã dành hai mươi năm chỉ đạo những chiến dịch đặc biệt trên khắp thế giới trong lúc còn gắn bó với Đội Ba SEAL, Cơ quan An ninh Quốc gia Hoa Kỳ (NSA), và Đội Sáu SEAL tinh nhuệ. Tốt nghiệp trường Đại học Quân sự Hoa Kỳ ở Virginia với tấm bằng cử nhân về Quản lý An ninh, Clint Emerson đã dành nhiều năm trong lực lượng tác chiến đặc biệt này với một Đơn vị Nhiệm vụ Đặc biệt SMU, phát triển và thực hiện các kỹ năng chuyên môn để hỗ trợ các hoạt động trong những môi trường khắc nghiệt khác nhau nhằm vào các cá nhân xuất sắc. Là một chuyên gia giám sát và chống khủng bố, Clint Emerson đã nhận được rất nhiều giải thưởng cho lòng dũng cảm và sự lãnh đạo của mình.Clint Emerson là người sáng lập của Escape the Wolf, một công ty tập trung vào phòng ngừa và ứng phó với bạo lực tại nơi làm việc, xác định các mối đe dọa và kiểm soát khủng hoảng. Là tác giả của cuốn sách bán chạy của New York Times có tên 100 kỹ năng sinh tồn, Clint Emerson tiếp tục lập danh sách các kỹ năng tự vệ trong lúc phát triển những sản phẩm và công cụ độc đáo, có độ bền cao, cho sự an toàn của cá nhân và gia đình.Mời bạn đón đọc!
Bạn sẽ làm gì nếu như một ngày bị mắc kẹt giữa vùng lãnh thổ có dịch bệnh hoành hành, lạc ở nơi hoang dã, bị móc túi khi đi du lịch ở đất nước xa lạ, hay phải thoát ngay khỏi một vụ hỏa hoạn ở nhà cao tầng… ?  Clint Emerson – một cựu Đặc vụ SEAL, lực lượng tác chiến đặc biệt của Hải quân Hoa Kỳ – muốn bạn có được sự chuẩn bị tốt nhất trong cuốn sách 100 kỹ năng sinh tồn này.
Rõ ràng, chi tiết và được trình bày dễ hiểu, cuốn sách này phác thảo chi tiết nhiều chiến lược giúp bảo vệ bạn và những người bạn yêu thương, dạy bạn cách suy nghĩ và hành động như một thành viên của lực lượng quân đội tinh nhuệ Hoa Kỳ. 100 kỹ năng sinh tồn thực sự là cuốn cẩm nang vô giá. Bởi lẽ, khi nguy hiểm xảy ra, bạn chẳng có nhiều thời gian cho những chỉ dẫn phức tạp đâu. 
-----
Tác giả
Clint Emerson là một cựu Đặc vụ SEAL, ông đã dành hai mươi năm chỉ đạo những chiến dịch đặc biệt trên khắp thế giới trong lúc còn gắn bó với Đội Ba SEAL, Cơ quan An ninh Quốc gia Hoa Kỳ (NSA), và Đội Sáu SEAL tinh nhuệ. Tốt nghiệp trường Đại học Quân sự Hoa Kỳ ở Virginia với tấm bằng cử nhân về Quản lý An ninh, Clint Emerson đã dành nhiều năm trong lực lượng tác chiến đặc biệt này với một Đơn vị Nhiệm vụ Đặc biệt SMU, phát triển và thực hiện các kỹ năng chuyên môn để hỗ trợ các hoạt động trong những môi trường khắc nghiệt khác nhau nhằm vào các cá nhân xuất sắc. Là một chuyên gia giám sát và chống khủng bố, Clint Emerson đã nhận được rất nhiều giải thưởng cho lòng dũng cảm và sự lãnh đạo của mình.
Clint Emerson là người sáng lập của Escape the Wolf, một công ty tập trung vào phòng ngừa và ứng phó với bạo lực tại nơi làm việc, xác định các mối đe dọa và kiểm soát khủng hoảng. Là tác giả của cuốn sách bán chạy của New York Times có tên 100 kỹ năng sinh tồn, Clint Emerson tiếp tục lập danh sách các kỹ năng tự vệ trong lúc phát triển những sản phẩm và công cụ độc đáo, có độ bền cao, cho sự an toàn của cá nhân và gia đình.",100 Kỹ Năng Sinh Tồn,84000,https://www.vinabook.com/images/thumbnails/product/240x/363655_p92782mimage195509146272.jpg,,Mai Loan,NXB Thanh Niên,Đinh Tị,8935212351621,330.0,Tiếng Việt,Bìa mềm,24.0,16.0,11/2020,272
2,khoa-hoc-co-ban,"Nhân loại đã bước sang thế kỷ XXI nhưng vẫnluôn đứng trước những bí ẩn không có lời giải,và thế giới tâm linh - siêu nhiên là một chủ đề đượcbàn luận và quan tâm nhiều nhất. Văn hào Pháp Guy de Maupassant từng viết: “Người ta chỉ sợ những thứmà họ không hiểu”, và quả thật, những câu chuyện ma chưa bao giờ ngừng khiến chúng ta dựng tóc gáy cũng như luôn khơi dậy sự tò mò vô hạn.Ma có thật hay không? là câu hỏi đau đáu đối với tất cả mọi người, đặc biệt là những bạn đọc sợ ma, vậy nên chúng tôi xin được dùng câu hỏi này làm nhan đề của cuốn sách mà bạn đang cầm trên tay - một cuốn cẩm nang phong phú và đa chiều về những con ma, giới thiệu cách săn ma và lật tẩy những mánh khóe giả ma trục lợi của một số đối tượng bất hảo. Đây cũng là ấn phẩm huyền thoại của một trong những nhà xuất bản hàng đầu nước Anh, được rất nhiều thế hệ độc giả trên toàn thế giới yêu mến, giúp bạn hiểu biết hơn, tỉnh táo hơn và được những phen sợ ma không đáng có.
Mời bạn đón đọc!",Ma Có Thật Hay Không?,38000,https://www.vinabook.com/images/thumbnails/product/240x/363550_p92754mimage195900.jpg,Nhiều tác giả,,Nxb Hà Nội,Đinh Tị,8935212352062,132.0,Tiếng Việt,Bìa mềm,27.0,20.5,11/2020,36
3,khoa-hoc-co-ban,"Thế giới thần diệu của những
con số và phép toán là tựa
sách thứ tư thuộc lĩnh vực TOÁN HỌC, nằm trong loạt sách Giáo dục STEM, là
phương thức giáo dục tổng hợp gồm Khoa học - Công nghệ - Kỹ thuật - Toán học
Toán học chính là ngôn ngữ của vũ trụ vạn vậsst quanh ta. Liệu bạn có thể xoay xở thành công và trở thành một thiên tài toán học?
Chơi trò bingo số hay tuyệt, làm bánh quy sô cô la giòn tan với đúng tỷ lệ
thành phần, dựng kim tự tháp 3D, tự sáng tạo kiệt tác tranh khảm độc đáo của
riêng bạn... và còn nhiều trò vui hơn nữa!

Với hơn 30 hoạt động hấp dẫn, các thông tin thực
tế và số liệu thống kê độc đáo cùng minh họa ấn tượng, cuốn sách STEM tuyệt vời
này sẽ đem lại nguồn cảm hứng để bạn trở thành một cỗ máy tính toán siêu hạng
hàng đầu! Hãy sẵn sàng khám phá phép màu và tuyệt tác của toán học.
Thế giới thần diệu của những
con số và phép toán là tựa
sách thứ tư thuộc lĩnh vực TOÁN HỌC, nằm trong loạt sách Giáo dục STEM, là
phương thức giáo dục tổng hợp gồm Khoa học - Công nghệ - Kỹ thuật - Toán học
Toán học chính là ngôn ngữ của vũ trụ vạn vậsst quanh ta.
Liệu bạn có thể xoay xở thành công và trở thành một thiên tài toán học?
Chơi trò bingo số hay tuyệt, làm bánh quy sô cô la giòn tan với đúng tỷ lệ
thành phần, dựng kim tự tháp 3D, tự sáng tạo kiệt tác tranh khảm độc đáo của
riêng bạn... và còn nhiều trò vui hơn nữa!
Mời bạn đón đọc.",Thế Giới Thần Diệu Của Những Con Số Và Phép Toán,60000,https://www.vinabook.com/images/thumbnails/product/240x/362651_p92517mpheptoan.jpg,Colin Stuart,Vũ Kim Ngân,Nxb Trẻ,NXB Trẻ,9786041172043,160.0,Tiếng Việt,Bìa mềm,19.0,26.0,20/10/2020,80
4,khoa-hoc-co-ban,"NGUYÊN TỬ DIỆU KỲ VÀ MÊ CUNG VẬT CHẤT là tựa sách đầu tiên
thuộc lĩnh vực KHOA HỌC, nằm trong loạt sách Giáo dục STEM, là phương thức giáo
dục tổng hợp gồm Khoa học - Công nghệ - Kỹ thuật - Toán học. Hãy cùng khám phá
cách xây dựng mô hình nguyên tử bằng kẹo dẻo, cách nhấc một viên nước đá mà
không cần chạm tay đến nó, cách chế tạo núi lửa, cách lấy DNA của trái chuối
cùng nhiều thí nghiệm khác. Với hơn 30 thí nghiệm độc đáo tự làm, cùng các
thông tin và dữ liệu thú vị đi kèm nhiều hình ảnh minh họa tuyệt vời, cuốn sách
khoa học STEM kỳ thú này sẽ đem lại cho bạn cảm hứng khám phá xem thế giới kỳ
diệu đến chừng nào. HÃY SẴN SÀNG CHO MỘT CHUYẾN PHIÊU LƯU KHOA HỌC BÙNG NỔ NÀO!Mời bạn đón đọc.
NGUYÊN TỬ DIỆU KỲ VÀ MÊ CUNG VẬT CHẤT là tựa sách đầu tiên
thuộc lĩnh vực KHOA HỌC, nằm trong loạt sách Giáo dục STEM, là phương thức giáo
dục tổng hợp gồm Khoa học - Công nghệ - Kỹ thuật - Toán học. Hãy cùng khám phá
cách xây dựng mô hình nguyên tử bằng kẹo dẻo, cách nhấc một viên nước đá mà
không cần chạm tay đến nó, cách chế tạo núi lửa, cách lấy DNA của trái chuối
cùng nhiều thí nghiệm khác. Với hơn 30 thí nghiệm độc đáo tự làm, cùng các
thông tin và dữ liệu thú vị đi kèm nhiều hình ảnh minh họa tuyệt vời, cuốn sách
khoa học STEM kỳ thú này sẽ đem lại cho bạn cảm hứng khám phá xem thế giới kỳ
diệu đến chừng nào.
HÃY SẴN SÀNG CHO MỘT CHUYẾN PHIÊU LƯU KHOA HỌC BÙNG NỔ NÀO!",Nguyên Tử Diệu Kỳ Và Mê Cung Vật Chất,60000,https://www.vinabook.com/images/thumbnails/product/240x/362647_p92515mnguyentu.jpg,Colin Stuart,Nguyễn Thị Kim Oanh,Nxb Trẻ,NXB Trẻ,9786041170445,157.0,Tiếng Việt,Bìa mềm,19.0,26.0,20/10/2020,80
5,khoa-hoc-co-ban,"Cuốn sách này được xuất bản lần đầu tại Anh năm 1884. Tác giả đã vẽ ra một thế giới chỉ có hai chiều, còn cư dân là các đa giác được phân đẳng cấp theo số cạnh, càng nhiều cạnh đẳng cấp càng cao, càng nhiều đặc quyền. Nhân vật chính là một hình vuông, nhờ cơ duyên kỳ lạ đã được du hí đến các thế giới khác, một chiều, ba chiều và vô chiều, nhờ đó Hình Vuông vỡ vạc trí tưởng tượng toán học của mình. Anh nhận ra tôn giáo và độc quyền chân lý ở Xứ Phẳng của mình đã gây ra bất công và cản trở sự tiến bộ. Anh cũng học được phương pháp tư duy toán học về những không gian nhiều hơn ba chiều, bốn chiều. Khi mới ra đời, Xứ Phẳng không được đón nhận nồng nhiệt, nhưng sau Thuyết tương đối tổng quát của Einstein được chứng minh bằng thực nghiệm, bạn đọc bắt đầu dồn sự chú ý cho nó, cuốn sách ""dự báo"" trước một thế giới có nhiều hơn ba chiều.
Mời bạn đón đọc.",Xứ Phẳng - Du Hành Vào Cõi Đa Chiều,67000,https://www.vinabook.com/images/thumbnails/product/240x/361648_p92288mxuphangduhanhvaocoidachieu01.jpg,Edwin A. Abbott,Hồ Hồng Đăng,NXB Dân Trí,Nhã Nam,8935235227538,220.0,Tiếng Việt,Bìa mềm,14.0,20.5,12/10/2020,196
6,khoa-hoc-co-ban,"Vô hạn là khái niệm phản trực giác mãnh liệt và là chủ đề “xoắn não” nhất, truyền cảm hứng cho nhiều nhà tư tưởng vĩ đại. Những người Hy Lạp cổ bối rối trước hàm nghĩa của một con số vô hạn nên đã dìm chết người đàn ông tiết lộ bí mật đó. Và một nhà toán học người Đức đã phát điên trước những sự chỉ trích nhắm vào phát minh số siêu hạn của ông. Cuốn sách này sẽ giới thiệu tới độc giả khái niệm vô hạn thông qua một loạt nhân vật nổi tiếng: từ Archimedes và Pythagoras tới al-Khwarizmi, Fibonaci, Galileo, Newton, Leibniz, Cantor, Venn, Gödel và Mandelbrot, cho thấy vô hạn thách thức những bộ não vĩ đại về khoa học và toán học như thế nào. Hãy sẵn sàng bước vào thế giới của những nghịch lý!Dẫn nhập ngắn về khoa học là lựa chọn sáng suốt nhất cho bất kỳ ai muốn truy cập nhanh và hiệu quả vào kho kiến thức khổng lồ. Khai thác thông tin khoa học khách quan từ những nguồn xác tín và sử dụng phong cách truyện tranh hài hước, bộ sách độc đáo này sẽ mở ra con đường sáng rõ nhất để tìm đến những ý tưởng khoa học đột phá của nhân loại.Mời bạn đón đọc.
Vô hạn là khái niệm phản trực giác mãnh liệt và là chủ đề “xoắn não” nhất, truyền cảm hứng cho nhiều nhà tư tưởng vĩ đại. Những người Hy Lạp cổ bối rối trước hàm nghĩa của một con số vô hạn nên đã dìm chết người đàn ông tiết lộ bí mật đó. Và một nhà toán học người Đức đã phát điên trước những sự chỉ trích nhắm vào phát minh số siêu hạn của ông. Cuốn sách này sẽ giới thiệu tới độc giả khái niệm vô hạn thông qua một loạt nhân vật nổi tiếng: từ Archimedes và Pythagoras tới al-Khwarizmi, Fibonaci, Galileo, Newton, Leibniz, Cantor, Venn, Gödel và Mandelbrot, cho thấy vô hạn thách thức những bộ não vĩ đại về khoa học và toán học như thế nào. Hãy sẵn sàng bước vào thế giới của những nghịch lý!
Dẫn nhập ngắn về khoa học là lựa chọn sáng suốt nhất cho bất kỳ ai muốn truy cập nhanh và hiệu quả vào kho kiến thức khổng lồ. Khai thác thông tin khoa học khách quan từ những nguồn xác tín và sử dụng phong cách truyện tranh hài hước, bộ sách độc đáo này sẽ mở ra con đường sáng rõ nhất để tìm đến những ý tưởng khoa học đột phá của nhân loại.",Dẫn Nhập Ngắn Về Khoa Học - Vô Hạn: Minh Họa Sinh Động Bằng Tranh,59000,https://www.vinabook.com/images/thumbnails/product/240x/361593_p92248mvohan.jpg,"Brian Clegg, Oliver Pugh",Nguyễn Thị Hà Linh,NXB Dân Trí,Alpha books,8935251413144,220.0,Tiếng Việt,Bìa mềm,13.0,18.0,17/09/2020,180
7,khoa-hoc-co-ban,"Từ chạng vạng đến bình minh, nhà vật lý thiên văn Trịnh Xuân Thuận đưa người đọc cùng khám phá vũ trụ từ đài thiên văn Mauna Kea, ở độ cao 4.000 m so với mực nước biển. Với ngôn ngữ đầy chất thơ và câu chuyện quyến rũ, tác giả mời chúng ta quan sát và thấu hiểu màn đêm, để rồi ngạc nhiên trước vẻ đẹp của thế giới và sự mong manh của nó. Độc giả đồng hành cùng ông khi ông dõi theo ánh sáng của các ngôi sao để hiểu nguồn gốc của Vũ trụ, ở cạnh ông khi ông tìm kiếm thiên hà lùn ""xanh đặc"", và cùng ông bước ra khỏi mái vòm, lao vào bóng tối của màn đêm, nhìm lên bầu trời trong trẻo không bị ô nhiễm bởi ánh sáng nhân tạo, và chiêm ngắm các hành tinh, mặt trăng và các vì sao giữa khoảng không bao la.Mời bạn đón đọc.
Từ chạng vạng đến bình minh, nhà vật lý thiên văn Trịnh Xuân Thuận đưa người đọc cùng khám phá vũ trụ từ đài thiên văn Mauna Kea, ở độ cao 4.000 m so với mực nước biển. Với ngôn ngữ đầy chất thơ và câu chuyện quyến rũ, tác giả mời chúng ta quan sát và thấu hiểu màn đêm, để rồi ngạc nhiên trước vẻ đẹp của thế giới và sự mong manh của nó. 
Độc giả đồng hành cùng ông khi ông dõi theo ánh sáng của các ngôi sao để hiểu nguồn gốc của Vũ trụ, ở cạnh ông khi ông tìm kiếm thiên hà lùn ""xanh đặc"", và cùng ông bước ra khỏi mái vòm, lao vào bóng tối của màn đêm, nhìm lên bầu trời trong trẻo không bị ô nhiễm bởi ánh sáng nhân tạo, và chiêm ngắm các hành tinh, mặt trăng và các vì sao giữa khoảng không bao la.",Một Đêm,120000,https://www.vinabook.com/images/thumbnails/product/240x/356866_p91033mmot.jpg,Trịnh Xuân Thuận,Phạm Việt Hưng,Nxb Trẻ,NXB Trẻ,8934974166900,440.0,Tiếng Việt,Bìa mềm,14.3,20.3,03/2020,228
8,khoa-hoc-co-ban,"Vẫn là Larry Gonick với nét vẽ dí dỏm, cùng những ý tưởng hài hước của Art Huffman, môn vật lý hiện ra trước mắt bạn đọc không còn khô khan, rối rắm và đáng sợ nữa, mà chính là những ứng dụng rất đời thường và hiện tượng mà bất cứ ai cũng dễ dàng thấy được trong cuộc sống thường ngày. Lực chẳng phải là thứ gì xa lạ, quán tính không có gì khó hiểu, dòng điện chẳng có gì bí ẩn, cả thuyết tương đối cũng trở nên gần gũi hơn. Các tác giả đã cho thấy rằng, vật lý chính là thế giới này.
Mời bạn đón đọc.",Câu Chuyện Vật Lý,100000,https://www.vinabook.com/images/thumbnails/product/240x/349438_p90099mcauchuyen.jpg,"Art Huffman, Larry Gonick",Nguyễn Nguyệt Anh,Nxb Trẻ,NXB Trẻ,8934974164012,440.0,Tiếng Việt,Bìa mềm,19.0,24.0,09/2019,214
9,khoa-hoc-co-ban,"“Nếu một ý tưởng nghe chừng không có gì ngớ ngẩn thì đừng mong có hy vọng gì cho nó.” – Albert EinsteinTrong Vật lý của những điều tưởng chừng bất khả, nhà vật lý Michio Kaku khám phá khả năng đưa những công nghệ và thiết bị từ lãnh địa của khoa học viễn tưởng vào cuộc sống thường nhật trong tương lai.Bằng lối dẫn chuyện lôi cuốn và khơi gợi trí tò mò, Kaku đưa chúng ta theo một hành trình khó quên đầy mê hoặc của các chùm tia hủy diệt, trường lực, áo khoác tàng hình đến du hành thời gian… Dù phải chờ thêm hàng thế kỷ hay khả thi ngay trong vài thập kỷ tới, hẳn bạn sẽ bất ngờ khi biết những điều ngỡ “viễn tưởng” này, thật ra, lại trong tầm với của khoa học.Mời bạn đón đọc.
“Nếu một ý tưởng nghe chừng không có gì ngớ ngẩn thì đừng mong có hy vọng gì cho nó.” – Albert Einstein
Trong Vật lý của những điều tưởng chừng bất khả, nhà vật lý Michio Kaku khám phá khả năng đưa những công nghệ và thiết bị từ lãnh địa của khoa học viễn tưởng vào cuộc sống thường nhật trong tương lai.
Bằng lối dẫn chuyện lôi cuốn và khơi gợi trí tò mò, Kaku đưa chúng ta theo một hành trình khó quên đầy mê hoặc của các chùm tia hủy diệt, trường lực, áo khoác tàng hình đến du hành thời gian… Dù phải chờ thêm hàng thế kỷ hay khả thi ngay trong vài thập kỷ tới, hẳn bạn sẽ bất ngờ khi biết những điều ngỡ “viễn tưởng” này, thật ra, lại trong tầm với của khoa học.",Vật Lý Của Những Điều Tưởng Chừng Bất Khả,153000,https://www.vinabook.com/images/thumbnails/product/240x/348612_p90006mvatly.jpg,Michio Kaku,Thới Ngọc Tuấn Quốc,Nxb Thế giới,Alpha books,8935251412772,616.0,Tiếng Việt,Bìa mềm,16.0,24.0,07/10/2019,400
