,topic,introduction,name,price,cover,authors,translator,publisher,printer,id,weight,language,format,width,height,publish_date,pages
0,my-thuat-kien-truc,"Bạn đam mê hội họa và muốn bắt đầu học vẽ?Bạn gặp khó khăn trong việc tìm ra sách học phù hợp?Bạn bối rối không biết nên bắt đầu từ đâu?Bộ sách Bí Quyết Hội Họa sẽ là người bạn đồng hành tuyệt vời, giúp bạn có khởi đầu thuận lợi trên con đường học vẽ của mình. Bộ sách được thiết kế với từng cấp độ từ cơ bản đến nâng cao, mang đến cho bạn những kiến thức nền tảng cũng như định hướng để tiếp tục đào sâu đam mê.PHÁC HỌA TĨNH VẬT trong bộ sách này vừa giúp người học luyện tập về các vật thể có thật, vừa là bước đệm để nâng cao khả năng quan sát bố cục, rèn luyện kỹ thuật vẽ và đào sâu các kiến thức hội họa, nhằm chuẩn bị cho việc vẽ người sau này.
Bạn đam mê hội họa và muốn bắt đầu học vẽ?
Bạn gặp khó khăn trong việc tìm ra sách học phù hợp?
Bạn bối rối không biết nên bắt đầu từ đâu?
Bộ sách Bí Quyết Hội Họa sẽ là người bạn đồng hành tuyệt vời, giúp bạn có khởi đầu thuận lợi trên con đường học vẽ của mình. Bộ sách được thiết kế với từng cấp độ từ cơ bản đến nâng cao, mang đến cho bạn những kiến thức nền tảng cũng như định hướng để tiếp tục đào sâu đam mê.
PHÁC HỌA TĨNH VẬT trong bộ sách này vừa giúp người học luyện tập về các vật thể có thật, vừa là bước đệm để nâng cao khả năng quan sát bố cục, rèn luyện kỹ thuật vẽ và đào sâu các kiến thức hội họa, nhằm chuẩn bị cho việc vẽ người sau này.",Bí Quyết Hội Họa - Phác Họa Tĩnh Vật,49000,https://www.vinabook.com/images/thumbnails/product/240x/367182_p94188mimage237445.jpg,"Từ Hảo, Diêu Tùng Tùng",Mai Đỗ,Nxb Thanh Hóa,Văn Lang,8935074124876,400.0,Tiếng Việt,Bìa mềm,27.0,19.0,22/06/2021,56
1,my-thuat-kien-truc,"Tô Bình Yên Vẽ Hạnh PhúcSau thành công của cuốn sách đầu tay “Phải lòng với cô đơn” chàng họa sĩ nổi tiếng và tài năng Kulzsc đã trở lại với một cuốn sách vô cùng đặc biệt mang tên: ""Tô bình yên - vẽ hạnh phúc” –  sắc nét phong cách cá nhân với một chút “thơ thẩn, rất hiền”.Không giống với những cuốn sách chỉ để đọc, “Tô bình yên – vẽ hạnh phúc”  là một cuốn sách mà độc giả vừa tìm được “Hạnh phúc to to từ những điều nho nhỏ” vừa được thực hành ngay lập tức. Một sự kết hợp mới lạ đầy thú vị giữa thể loại sách tản văn và sách tô màu.Lật mở cuốn sách này, bạn sẽ thấy vô vàn những điều nhỏ bé dễ thương lan tòa nguồn năng lượng tích cực. Và kèm theo một list những điều tuyệt vời khiến bạn không thể bỏ lỡ:- Tận tình chỉ dẫn: 8 hướng dẫn tô màu đầy hứng thú từ Kulzsc- Tranh vẽ đơn giản, gần gũi. Nét vẽ đáng yêu, dễ thương- Chủ đề xoay quanh những điều bình yên trong cuộc sống: Đọc sách, đi dạo, dọn dẹp nhà cửa, trồng cây, ăn cơm mẹ nấu, nghe một bản nhạc hay, và nghĩ về nụ cười của một ai đó…- Mỗi bức tranh lại là những lời thủ thỉ, tâm tình của tác giả. Là những điều nhắn gửi nho nhỏ mong bạn bớt đi những xao động:“Em chọn hạnh phúcEm chọn bình yênEm chọn bên cạnhNhững điều an yên”Hay đơn giản là những giãi bày ngắn gọn, thay nỗi lòng của một ai đó: ""Tớ biết cậu một mình vẫn ổn, nhưng có những chuyện, có ai đó cùng làm, vẫn hơn.""Thông qua những hình vẽ đang đợi được lấp đầy bằng muôn vàn sắc màu ấy, Kulzsc sẽ giúp bạn - những người lớn cô đơn, những ai đang cần bổ sung vitamin hạnh phúc “truy tìm” những niềm vui bị bỏ quên hay tuyệt chiêu để đối phó với stress.Bởi tô màu là một hình thức chữa lành đơn giản mà hiệu quả, nên mỗi khi thấy bực dọc, chán nản, hay khiến mình bận rộn hơn hãy thử tìm tới “Tô bình yên -  vẽ hạnh phúc” cùng hộp màu đã cất lâu trong tủ và... Sao không thể là một đám mây màu tím, một mái tóc vàng tươi hay một nụ hoa màu xanh biển nhỉ? Không cần phải đắn đo đâu, bạn cứ thoải mái xóa đi căng thẳng, xóa đi những gam màu u ám, tự tay mình điểm tô những màu sắc tươi sáng lấp lánh, đầy ắp hy vọng theo ý thích, tận hưởng những phút thư giãn thật bình yên không muộn phiền thôi nào.Mời bạn đón đọc!

Tô Bình Yên Vẽ Hạnh Phúc
Sau thành công của cuốn sách đầu tay “Phải lòng với cô đơn” chàng họa sĩ nổi tiếng và tài năng Kulzsc đã trở lại với một cuốn sách vô cùng đặc biệt mang tên: ""Tô bình yên - vẽ hạnh phúc” –  sắc nét phong cách cá nhân với một chút “thơ thẩn, rất hiền”.
Không giống với những cuốn sách chỉ để đọc, “Tô bình yên – vẽ hạnh phúc”  là một cuốn sách mà độc giả vừa tìm được “Hạnh phúc to to từ những điều nho nhỏ” vừa được thực hành ngay lập tức. Một sự kết hợp mới lạ đầy thú vị giữa thể loại sách tản văn và sách tô màu.
Lật mở cuốn sách này, bạn sẽ thấy vô vàn những điều nhỏ bé dễ thương lan tòa nguồn năng lượng tích cực. Và kèm theo một list những điều tuyệt vời khiến bạn không thể bỏ lỡ:
- Tận tình chỉ dẫn: 8 hướng dẫn tô màu đầy hứng thú từ Kulzsc- Tranh vẽ đơn giản, gần gũi. Nét vẽ đáng yêu, dễ thương- Chủ đề xoay quanh những điều bình yên trong cuộc sống: Đọc sách, đi dạo, dọn dẹp nhà cửa, trồng cây, ăn cơm mẹ nấu, nghe một bản nhạc hay, và nghĩ về nụ cười của một ai đó…- Mỗi bức tranh lại là những lời thủ thỉ, tâm tình của tác giả. Là những điều nhắn gửi nho nhỏ mong bạn bớt đi những xao động:
“Em chọn hạnh phúcEm chọn bình yênEm chọn bên cạnhNhững điều an yên”
Hay đơn giản là những giãi bày ngắn gọn, thay nỗi lòng của một ai đó: ""Tớ biết cậu một mình vẫn ổn, nhưng có những chuyện, có ai đó cùng làm, vẫn hơn.""
Thông qua những hình vẽ đang đợi được lấp đầy bằng muôn vàn sắc màu ấy, Kulzsc sẽ giúp bạn - những người lớn cô đơn, những ai đang cần bổ sung vitamin hạnh phúc “truy tìm” những niềm vui bị bỏ quên hay tuyệt chiêu để đối phó với stress.
Bởi tô màu là một hình thức chữa lành đơn giản mà hiệu quả, nên mỗi khi thấy bực dọc, chán nản, hay khiến mình bận rộn hơn hãy thử tìm tới “Tô bình yên -  vẽ hạnh phúc” cùng hộp màu đã cất lâu trong tủ và... Sao không thể là một đám mây màu tím, một mái tóc vàng tươi hay một nụ hoa màu xanh biển nhỉ? Không cần phải đắn đo đâu, bạn cứ thoải mái xóa đi căng thẳng, xóa đi những gam màu u ám, tự tay mình điểm tô những màu sắc tươi sáng lấp lánh, đầy ắp hy vọng theo ý thích, tận hưởng những phút thư giãn thật bình yên không muộn phiền thôi nào.",Tô Bình Yên Vẽ Hạnh Phúc,66000,https://www.vinabook.com/images/thumbnails/product/240x/364071_p92900mbia1tobinhyen2.jpg,Kulzsc,,NXB Phụ Nữ,Skybooks,8936186546433,220.0,Tiếng Việt,Bìa mềm,24.0,19.0,16/12/2020,96
2,my-thuat-kien-truc,"HVAC là một phần trong công trình hiện đại để tạo ra không gian tiện nghi tốt nhất cho con người ở, làm việc, và sinh hoạt trong đó bao gồm điều kiện về nhiệt độ, độ ẩm, và chất lượng không khí.
Ngày nay, các công trình cao tầng tại Việt Nam có xu hướng nâng cao chất lượng thông gió và kiểm soát nhiệt động khi vận hành. Do đó đòi hỏi không những các hãng thiết bị liên tục tìm tòi các dòng sản phẩm mới đa dạng để phục vụ thị trường mà đồng thời các kỹ sư thiết kế cũng cần đưa ra giải pháp phù hợp để tư vấn cho khách hàng về công nghệ, chi phí đầu tư cũng như các đơn vị thi công cũng cần bắt kịp xu hướng công nghệ cho lắp đặt và vận hành thử.
Cuốn sách phù hợp với kỹ sư MEP và các hãng cung cấp thiết bị-vật tư MEP muốn nắm bắt thị trường xây lắp tại Việt Nam.
Mời bạn đón đọc.",HVAC - Ứng Dụng Cho Nhà Cao Tầng,93000,https://www.vinabook.com/images/thumbnails/product/240x/362523_p92460mhvac.jpg,,,Nxb Đại học Quốc gia TPHCM,,9786047378104,275.0,Tiếng Việt,Bìa mềm,19.0,27.0,23/10/2020,224
3,my-thuat-kien-truc,"“The Story of Art"" (Câu Chuyện Nghệ Thuật) được in lần
đầu năm 1950 và trong 70 năm qua, được dịch ra gần 30 thứ tiếng và hơn tám triệu
bản đã được bán ra trên toàn thế giới. Điều đó khiến tác phẩm trở thành cuốn
sách nghệ thuật bán chạy nhất mọi thời đại và là tác phẩm nhập môn nghệ thuật
thị giác cho vô số thế hệ độc giả. Tác giả E.H Gombrich (1909-2001) là một trong những nhà sử học
nghệ thuật lỗi lạc nhất của nửa sau thế kỷ 20, đối với giới hàn lâm cũng như với
tầng lớp công chúng rộng rãi. Những tác phẩm khác mang tính lý thuyết của ông
cũng đã trở thành những công trình then chốt đối với các nhà nghiên cứu lịch sử
nghệ thuật. Câu Chuyện Nghệ Thuật là một tác phẩm kể về lịch sử nghệ thuật
châu Âu từ thời cổ đại đến hiện đại, được tác giả khảo sát và đánh giá trong
các lĩnh vực khác nhau như hội họa, điêu khắc, kiến trúc… song hành với những
chuyển biến và giao thoa của các nền văn hóa, chính trị, và tôn giáo.  Nguồn tư liệu phong phú về các tác phẩm đáng
chú ý, những tên tuổi tài năng, những trường phái, phong cách đặc sắc trong
dòng chảy nghệ thuật. Điều đặc biệt là tác phẩm không chỉ đơn thuần liệt kê đủ mọi
tên tuổi cùng những tác phẩm nổi tiếng hay đề tài và các kỹ thuật chuyên môn,
mà được Gombrich kể theo một dòng chảy liên kết và tiếp nối không ngừng nghỉ của
những nghệ nhân, họa sĩ, và nghệ sĩ. Với cái nhìn chân thực từ góc độ phê bình nghệ thuật và cách
viết mạch lạc, dễ hiểu, tác giả đã tạo nên một cuốn sách phù hợp cho mọi độc giả
yêu thích tìm hiểu về nghệ thuật ở nhiều lứa tuổi khác nhau, với nền tảng kiến
thức đa dạng. Câu Chuyện Nghệ Thuật tiếp tục duy trì thành công của nó ở vị trí
là một tác phẩm kinh điển trong danh sách các đầu sách nghệ thuật tuyển chọn. Trong bản tiếng Việt này, sách được dàn với số trang tương
đương với bản gốc tiếng Anh để đảm bảo được việc tương ứng giữa nội dung và
hình ảnh minh họa của ấn bản mới nhất lần 16 và bìa sách được lấy ý tưởng thiết
kế từ việc sử dụng bố cục mô phỏng theo tác phẩm của họa sĩ Mondrian mang màu sắc
tươi trẻ và bắt mắt, với những ô màu được ghép hình các tác phẩm thể hiện được
ba lĩnh vực chính của nghệ thuật được nhắc đến trong cuốn sách là hội họa, kiến
trúc và điêu khắc. Đặc biệt trong sách có hơn 400 các bức tranh, ảnh minh họa
các tác phẩm nghệ thuật, được in màu toàn bộ trên 692 trang, bằng giấy
Cmatt120, giúp người yêu nghệ thuật thưởng lãm các tác phẩm được đã mắt nhất.Mời bạn đón đọc.
“The Story of Art"" (Câu Chuyện Nghệ Thuật) được in lần
đầu năm 1950 và trong 70 năm qua, được dịch ra gần 30 thứ tiếng và hơn tám triệu
bản đã được bán ra trên toàn thế giới. Điều đó khiến tác phẩm trở thành cuốn
sách nghệ thuật bán chạy nhất mọi thời đại và là tác phẩm nhập môn nghệ thuật
thị giác cho vô số thế hệ độc giả.
Tác giả E.H Gombrich (1909-2001) là một trong những nhà sử học
nghệ thuật lỗi lạc nhất của nửa sau thế kỷ 20, đối với giới hàn lâm cũng như với
tầng lớp công chúng rộng rãi. Những tác phẩm khác mang tính lý thuyết của ông
cũng đã trở thành những công trình then chốt đối với các nhà nghiên cứu lịch sử
nghệ thuật.
Câu Chuyện Nghệ Thuật là một tác phẩm kể về lịch sử nghệ thuật
châu Âu từ thời cổ đại đến hiện đại, được tác giả khảo sát và đánh giá trong
các lĩnh vực khác nhau như hội họa, điêu khắc, kiến trúc… song hành với những
chuyển biến và giao thoa của các nền văn hóa, chính trị, và tôn giáo.  Nguồn tư liệu phong phú về các tác phẩm đáng
chú ý, những tên tuổi tài năng, những trường phái, phong cách đặc sắc trong
dòng chảy nghệ thuật.
Điều đặc biệt là tác phẩm không chỉ đơn thuần liệt kê đủ mọi
tên tuổi cùng những tác phẩm nổi tiếng hay đề tài và các kỹ thuật chuyên môn,
mà được Gombrich kể theo một dòng chảy liên kết và tiếp nối không ngừng nghỉ của
những nghệ nhân, họa sĩ, và nghệ sĩ.
Với cái nhìn chân thực từ góc độ phê bình nghệ thuật và cách
viết mạch lạc, dễ hiểu, tác giả đã tạo nên một cuốn sách phù hợp cho mọi độc giả
yêu thích tìm hiểu về nghệ thuật ở nhiều lứa tuổi khác nhau, với nền tảng kiến
thức đa dạng. Câu Chuyện Nghệ Thuật tiếp tục duy trì thành công của nó ở vị trí
là một tác phẩm kinh điển trong danh sách các đầu sách nghệ thuật tuyển chọn.
Trong bản tiếng Việt này, sách được dàn với số trang tương
đương với bản gốc tiếng Anh để đảm bảo được việc tương ứng giữa nội dung và
hình ảnh minh họa của ấn bản mới nhất lần 16 và bìa sách được lấy ý tưởng thiết
kế từ việc sử dụng bố cục mô phỏng theo tác phẩm của họa sĩ Mondrian mang màu sắc
tươi trẻ và bắt mắt, với những ô màu được ghép hình các tác phẩm thể hiện được
ba lĩnh vực chính của nghệ thuật được nhắc đến trong cuốn sách là hội họa, kiến
trúc và điêu khắc.
Đặc biệt trong sách có hơn 400 các bức tranh, ảnh minh họa
các tác phẩm nghệ thuật, được in màu toàn bộ trên 692 trang, bằng giấy
Cmatt120, giúp người yêu nghệ thuật thưởng lãm các tác phẩm được đã mắt nhất.",Câu Chuyện Nghệ Thuật (Bìa Cứng),849000,https://www.vinabook.com/images/thumbnails/product/240x/361480_p92157mart.jpg,E. H. Gombrich,Lưu Bích Ngọc,NXB Dân Trí,Alpha books,8935270702090,3100.0,Tiếng Việt,Bìa cứng,20.5,29.2,02/10/2020,692
4,my-thuat-kien-truc,"Nếu bạn muốn nâng cao khả năng sáng tạo và trí tưởng tượng, hãy thử làm quen với màu nước. Chỉ cần vài bước đơn giản, bạn đã có thể khám phá khả năng nghệ thuật của mình và có những giờ phút bình yên, êm ái. Bốn mươi bài học dễ hiểu hứa hẹn sẽ đem đến niềm vui và kiến thức về màu sắc: không yêu cầu có sẵn khả năng mỹ thuật.
Bộ sách học vẽ dễ thương này sẽ giúp bạn có được những bức tranh mới mẻ, sống động để tô điểm cho thiệp mời, các hộp quà tặng và trang trí tường.",Niềm Vui Từ Màu Nước,220000,https://www.vinabook.com/images/thumbnails/product/240x/357285_p91083mbia1niemvuitumaunuoc.jpg,Emma Block,Thanh Yên,NXB Dân Trí,Huy Hoàng,1130000091083,330.0,Tiếng Việt,Bìa mềm,20.5,20.5,31/03/2020,240
5,my-thuat-kien-truc,"Họa sĩ của những cuốn sách bán chạy Lulu Mayo đã đưa người đọc bước vào thế giới giàu trí tưởng tượng và độc đáo qua tác phẩm mới nhất Meo meo & 50 sắc thái.
Thông qua các hoạt động hội họa về loài mèo đầy lý thú và khác lạ, tác phẩm nghệ thuật đặc sắc và hài hước của Lulu đã đưa “miêu tính” du nhập vào thế giới đời thường của loài mèo vốn được chúng ta yêu thích.
Meo meo & 50 sắc thái giúp chúng ta học hỏi được cách vẽ một chú mèo Munchkin, định hình phong cách của các tín đồ thời trang lấy cảm hứng từ động vật, khắc họa hình tượng những chú mèo của riêng bạn và nhiều hơn thế.
Tác phẩm là người bạn đồng hành đầy sáng tạo hoàn hảo cho những tín đồ yêu mèo và những người đam mê nghệ thuật hội họa về loài động vật này.",Meo Meo & 50 Sắc Thái,67000,https://www.vinabook.com/images/thumbnails/product/240x/356437_p90972mmeomeova50sacthaibia1.jpg,Lulu Mayo,Liên Vũ,Nxb Mỹ thuật,Huy Hoàng,8935095629282,220.0,Tiếng Việt,Bìa mềm,17.0,24.0,03/2020,64
6,my-thuat-kien-truc,"Lịch sử nghệ thuật qua dáng vẻ 21 chú mèo của Nia Gould là một cuốn sách nhỏ vui nhộn, đầy màu sắc, hấp dẫn và thú vị. Nia Gould đưa người đọc đi từ nghệ thuật Ai Cập cổ đại qua thời Phục Hưng rồi đến các phong trào nghệ thuật Hiện đại và Hậu hiện đại bằng cách tái tạo chúng thông qua dáng vẻ của 21 chú mèo. Những yếu tố được sử dụng để khắc hoạ nên tính cách của 21 chú mèo này luôn đi kèm lời diễn giải về cách mà chúng phản ánh tác phẩm của một nghệ sĩ hay một khía cạnh nghệ thuật đặc thù. Bạn còn chần chừ gì nữa mà không tận dụng chúng để phát huy “miêu tính” sáng tạo của mình?",Lịch Sử Nghệ Thuật Qua Dáng Vẻ 21 Chú Mèo,117000,https://www.vinabook.com/images/thumbnails/product/240x/356248_p90953mlichsunghethuat.jpg,Nia Gould,Liên Vũ,Nxb Mỹ thuật,Huy Hoàng,8935095629312,484.0,Tiếng Việt,Bìa cứng,17.0,24.0,04/03/2020,92
7,my-thuat-kien-truc,"Origami Việt Nam - Chuyện của giấy tập hợp 20 mẫu gấp giấy độc đáo, chứa đựng một thế giới sáng tạo đích thực từ các tác giả Việt Nam. Với một tờ giấy đơn giản nhiều màu sắc, thông qua từng đường gấp và nếp gấp, những gương mặt tên tuổi trong Cộng đồng Gấp giấy Việt Nam đã lần lượt kể về những điều gần gũi, gắn bó với cuộc sống của chính mình.Nghệ thuật Origami luôn xoay quanh những đường gấp, nếp gấp, nhưng mỗi người lại có một cách sáng tạo riêng, dù họ đang gấp cùng một mẫu.    (Nguyễn Võ Hiến Chương)***- Tặng kèm giấy gấp với hoa văn độc đáo, được thiết kế riêng cho từng mẫu- Link tải và in các mẫu giấy có ở Trang 2- Xem video hướng dẫn cách gấp bằng cách quét mã QRMời bạn đón đọc.
Origami Việt Nam - Chuyện của giấy tập hợp 20 mẫu gấp giấy độc đáo, chứa đựng một thế giới sáng tạo đích thực từ các tác giả Việt Nam. Với một tờ giấy đơn giản nhiều màu sắc, thông qua từng đường gấp và nếp gấp, những gương mặt tên tuổi trong Cộng đồng Gấp giấy Việt Nam đã lần lượt kể về những điều gần gũi, gắn bó với cuộc sống của chính mình.
Nghệ thuật Origami luôn xoay quanh những đường gấp, nếp gấp, nhưng mỗi người lại có một cách sáng tạo riêng, dù họ đang gấp cùng một mẫu.
    (Nguyễn Võ Hiến Chương)
***
- Tặng kèm giấy gấp với hoa văn độc đáo, được thiết kế riêng cho từng mẫu
- Link tải và in các mẫu giấy có ở Trang 2
- Xem video hướng dẫn cách gấp bằng cách quét mã QR","Origami Việt Nam (Bản Đặc Biệt) (Tặng Kèm 100 Tờ Giấy Gấp, Đặt Trong Hộp Âm Dương Trang Trọng)",170000,https://www.vinabook.com/images/thumbnails/product/240x/346308_p88295mscan0001.jpg,,Bảo Khanh,Nxb Thế giới,Phương Nam,8932000131007,660.0,Tiếng Việt,Bìa mềm,17.5,25.0,25/08/2019,144
8,my-thuat-kien-truc,"Origami Việt Nam - Chuyện của giấy tập hợp 20 mẫu gấp giấy độc đáo, chứa đựng một thế giới sáng tạo đích thực từ các tác giả Việt Nam. Với một tờ giấy đơn giản nhiều màu sắc, thông qua từng đường gấp và nếp gấp, những gương mặt tên tuổi trong Cộng đồng Gấp giấy Việt Nam đã lần lượt kể về những điều gần gũi, gắn bó với cuộc sống của chính mình.Nghệ thuật Origami luôn xoay quanh những đường gấp, nếp gấp, nhưng mỗi người lại có một cách sáng tạo riêng, dù họ đang gấp cùng một mẫu.      (Nguyễn Võ Hiến Chương)***- Tặng kèm giấy gấp với hoa văn độc đáo, được thiết kế riêng cho từng mẫu- Link tải và in các mẫu giấy có ở Trang 2- Xem video hướng dẫn cách gấp bằng cách quét mã QRMời bạn đón đọc.
Origami Việt Nam - Chuyện của giấy tập hợp 20 mẫu gấp giấy độc đáo, chứa đựng một thế giới sáng tạo đích thực từ các tác giả Việt Nam. Với một tờ giấy đơn giản nhiều màu sắc, thông qua từng đường gấp và nếp gấp, những gương mặt tên tuổi trong Cộng đồng Gấp giấy Việt Nam đã lần lượt kể về những điều gần gũi, gắn bó với cuộc sống của chính mình.
Nghệ thuật Origami luôn xoay quanh những đường gấp, nếp gấp, nhưng mỗi người lại có một cách sáng tạo riêng, dù họ đang gấp cùng một mẫu.
      (Nguyễn Võ Hiến Chương)
***
- Tặng kèm giấy gấp với hoa văn độc đáo, được thiết kế riêng cho từng mẫu
- Link tải và in các mẫu giấy có ở Trang 2
- Xem video hướng dẫn cách gấp bằng cách quét mã QR",Origami Việt Nam (Bản Thường) (Tặng Kèm 20 Tờ Giấy Gấp),260000,https://www.vinabook.com/images/thumbnails/product/240x/346310_p88294mscan0001.jpg,,Bảo Khanh,Nxb Thế giới,Phương Nam,8932000131014,418.0,Tiếng Việt,Bìa mềm,17.5,25.0,25/08/2019,144
9,my-thuat-kien-truc,"Tuy đã giảng dạy lâu năm về kiến trúc, nhưng khi được yêu cầu trình bày về ngôi nhà của thường dân người Việt, kiến trúc sư Thái thú nhận bản thân mình cũng lúng túng do chưa am hiểu thấu đáo về sự xuất hiện, tồn tại và biến chuyển của ngôi nhà. Chỉ gần đây, do yêu cầu viết một biên khảo về nếp ở của người Việt, anh mới tập trung nghiên cứu lại vấn đề một cách căn cơ hơn. 
Chia sẻ những ý tưởng đó với bạn bè và học trò của mình, họ đều đề nghị anh nên tập hợp các nghiên cứu về ""Ngôi nhà Việt"" đó trong một tập sách chuyên đề.
Mời bạn đón đọc.",Ngôi Nhà Việt,56000,https://www.vinabook.com/images/thumbnails/product/240x/342240_p88038mscan0001.jpg,Nguyễn Hữu Thái,,Nxb Tổng hợp TP.HCM,NXBTH TPHCM,9786045889459,330.0,Tiếng Việt,Bìa mềm,16.0,24.0,07/2019,204
