,topic,introduction,name,price,cover,authors,translator,publisher,printer,id,weight,language,format,width,height,publish_date,pages
0,nghiep-vu-bao-chi,"Dịch Tiếng Anh là một trong những kỹ năng khó nhất trong các kỹ năng ngoại ngữ. Để dịch Tiếng Anh một cách hiệu quả, cần phải thường xuyên tăng cường sự hiểu biết, trau dồi ngaoji ngữ cũng như củng cố vốn tiếng Việt của mình. Quyển sách "" Luyện kỹ năng dịch Tiếng Anh báo chí"" này được biên soạn nhằm giúp bạn đọc có thêm tài liệu để trau dồi khả năng dịch tiếng Anh của mình một cách hiệu quả trong công việc.
Mời bạn đón đọc.",Luyện Kỹ Năng Dịch Tiếng Anh Báo Chí,66000,https://www.vinabook.com/images/thumbnails/product/240x/299345_p81310mscan0001.jpg,Đức Tín,,NXB Dân Trí,Tân Việt,8935210224231,418.0,"Tiếng Anh, Tiếng Việt",Bìa mềm,16.0,24.0,03/2018,310
1,nghiep-vu-bao-chi,"Suốt chặng đường làm báo, tôi đã được gặp nhiều người từ những người dân gặp nạn khi quyết tâm chống lại những người “móc túi” nhà nước như kỹ sư Hứa Thúy Lan, như những người dân ở Quảng Ninh bị những người nhân danh các cơ quan công quyền “bớt xén” tiền đền bù khi phải nhường đất để mở rộng quốc lộ 18A và quốc lộ 10 v.v… đến những nhân vật đã trở thành những nhân chứng lịch sử như Đại tá  Bùi Tùng, người thảo lời đầu hàng cho Đại tướng Dương Văn Minh, tổng thống Việt Nam Cộng hòa, trong ngày 30/4/1975; chuẩn tướng Nguyễn Hữu Hạnh, người thuộc “lực lượng thứ 3” khi miền Nam chưa được giải phóng, 4 chiến sĩ trên chiếc xe tăng 390, chiếc xe đầu tiên đâm đổ cửa Dinh Độc Lập ở Sài Gòn trong ngày 30/4/1975; Kiến trúc sư Ngô Viết Thụ, tác giả của Dinh Độc Lập; rồi viên tướng Gomit, người Xê-nê-gan nhưng có tâm hồn Việt Nam và hát rất hay… Tôi cũng đã thấy, đã biết được những mảng tối của cuộc sống, biết được sự tráo trở của một số người lợi dụng chức quyền hành dân; biết được nỗi khổ của người dân và cũng gặp được những con người chân chính. 
Mời bạn đón đọc.",Chuyện Đời Làm Báo,40000,https://www.vinabook.com/images/thumbnails/product/240x/247100_p73584mimg239.jpg,Minh Đức,,Nxb Thông tin & truyền thông,NXB Thông Tin và Truyền Thông,8935217103386,198.0,Tiếng Việt,Bìa mềm,13.0,20.5,12/2016,176
2,nghiep-vu-bao-chi,"Trong nhiều thập kỷ, nhà báo kỳ cựu Tom Plate, và cũng là tác giả của loạt sách ""Những người khổng lồ châu Á"", đã và đang thực hiện nhiều cuộc phỏng vấn nổi bật với các tổng thống tới thủ tướng cho đến các thành viên băng đảng. Một số người dễ nói chuyện, những người khác là những thách thức phức tạp.
Trong cuốn sách sâu sắc này, Plate đưa ra một cái nhìn thẳng thắn về cách tiến hành một cuộc phỏng vấn VIP. Liệu phương pháp đâm chọc có khôn ngoan không? ‘Câu hỏi Viagra’ là gì? Lễ nghĩa phỏng vấn có tồn tại không? Ông cho ta biết quan điểm của một người trong cuộc về những gì xảy ra khi cánh cửa đóng lại, tập ghi chú được lôi ra, và cuộc trò chuyện chính trị bắt đầu.
Với những mô tả súc tích, những câu chuyện nội bộ và những hiểu biết về các nhà lãnh đạo chính trị như Jimmy Carter, Keizo Obuchi, Lý Quang Diệu, Ngô Tác Đống, Ronald Reagan, Margaret Thatcher, Yitzak Rabin, Kim Dae Jung, và nhiều người khác, đây là một quyển sách quan trọng, không chỉ tiết lộ nhiều điều mà còn mang tính giải trí – nửa giáo khoa, nửa hồi ký… và tất cả đều đúng",Nghệ Thuật Phỏng Vấn Chính Trị,92000,https://www.vinabook.com/images/thumbnails/product/240x/316608_p84811mscan0001.jpg,Tom Plate,Lê Thùy Giang,Nxb Trẻ,NXB Trẻ,8934974156710,330.0,Tiếng Việt,Bìa mềm,15.5,23.0,09/2018,276
3,nghiep-vu-bao-chi,"Cuốn sách cung cấp những lý thuyết và kỹ năng truyền thông cơ bản nói chung, truyền thông - vận động xã hội và truyền thông đại chúng... nói riêng, giúp sinh viên tạo lập kiến thức nền tảng và nâng cao kỹ năng về giao tiếp - truyền thông - vận động xã hội trong hoạt động truyền thông và báo chí; tăng cường khả năng hội nhập và bình đẳng trong khu vực và quốc tế, khả năng hòa nhập với các nhóm công chúng - xã hội.Mời bạn đón đọc.",Truyền Thông - Lý Thuyết Và Kỹ Năng Cơ Bản,87000,https://www.vinabook.com/images/thumbnails/product/240x/315554_p84663mscan0001.jpg,"Nguyễn Văn Dững, Đỗ Thị Thu Hằng",,Nxb Thông tin & truyền thông,NXB Thông Tin và Truyền Thông,8935217106981,374.0,Tiếng Việt,Bìa mềm,14.5,20.5,06/2018,372
4,nghiep-vu-bao-chi,"Trong cuốn Viết báo và theo đuổi sự kiện, tác giả hướng dẫn về cách sử dụng văn phong trong báo chí, kỹ thuật lấy thông tin chọn đề tài vào đúng điểm rơi thời sự và kỹ thuật ""viết và lách"" cho nhà báo mà không vi phạm pháp luật.
Mời bạn đón đọc.",Viết Báo & Theo Đuổi Sự Kiện,45000,https://www.vinabook.com/images/thumbnails/product/240x/300879_p81983mvietbao.jpg,Nhà báo Hàn Ni,,Nxb Tổng hợp TP.HCM,Nhân Văn,8935072923075,220.0,Tiếng Việt,Bìa mềm,12.5,20.5,03/2017,256
5,nghiep-vu-bao-chi,"Kẻ trăn trở là cuốn sách được tập hợp từ rất nhiều bài viết đã được đăng trên các trang báo điện tử: VNExpress, Thanh niên, Tuổi trẻ, Giáo dục, báo Điện tử Chính phủ, VTC News… Cuốn sách đề cập tới nhiều đề tài mang đậm tính thời sự nóng hổi như giáo dục, hàng không, giao thông, xã hội…
Từ giáo dục cho tới hàng không, từ câu chuyện về đất nước Việt Nam nhỏ hay không nhỏ cho tới câu chuyện về kinh tế – xã hội, kinh doanh bất động sản, nợ công, đường sắt, thương hiệu, công nghiệp ô tô ở Việt Nam… đều là những đề tài được khai thác rất nhiều trên các phương tiện truyền thông. Nhưng bằng góc nhìn mới với những đề tài tưởng chừng đã cũ, tác giả cuốn sách đã thể hiện tư duy nhạy bén với những vấn đề đang hàng ngày hàng giờ diễn ra trong đời sống xã hội.
Đọc những bài viết về đề tài giáo dục, có thể nhận thấy ngay tư duy của một doanh nhân hàng ngày phải vật lộn với sự khốc liệt của môi trường cạnh tranh, nhưng vẫn luôn quan tâm, trăn trở tới vấn đề giáo dục quốc gia. Trong nhiều bài viết như Người Việt có quan tâm đến “giáo dục thật” hay Gửi Bộ trưởng: Một lá thư ngỏ bàn về giáo dục…, tác giả đã đưa ra những phân tích, đánh giá thấu đáo khi dựa trên những số liệu, tư liệu mang tính đối chiếu, so sánh giữa giáo dục Việt Nam với nền giáo dục các quốc gia tiên tiến trên thế giới: Mỹ, Anh, Singapore…
Xoay quanh câu chuyện giáo dục, có một bài viết đã nhận được sự quan tâm của đông đảo mọi người, đó là Từ lũy tre làng ra biển lớn và Nhận thức về Tây học. Giáo sư Ngô Bảo Châu cũng đặc biệt yêu thích bài viết này và dành những lời tâm huyết khi nói về vấn đề giáo dục: “Trong câu chuyện giáo dục, câu hỏi anh (hay tôi) thuộc về lũy tre làng hay thuộc về biển lớn thực ra không quan trọng lắm. Câu hỏi quan trọng là anh có muốn con anh sống với thế giới rộng lớn hơn thế giới của chính bản thân anh hay không? Nếu chúng ta đã thực sự rành mạch với bản thân mình rồi thì câu hỏi chọn mô hình nào cho giáo dục Việt Nam sẽ không cần phải bàn cãi nhiều nữa”.
Giáo sư Ngô Bảo Châu cũng tin tưởng vào những gì tác giả cuốn sách trăn trở có thể giúp “thai nghén những vận động tích cực” trong xã hội: “Tôi tin rằng những trăn trở của anh sẽ gặp gỡ, cộng hưởng với nhiều trăn trở của những người khác để thai nghén những vận động tích cực của xã hội”.
Ngoài đề tài giáo dục, ngòi bút của tác giả tiếp tục khai thác những đề tài nóng hổi khác của đời sống xã hội.
Với kinh nghiệm nhiều năm công tác trong lĩnh vực hàng không, cộng với những trải nghiệm khi có điều kiện đi nhiều, hiểu nhiều, chính những điều đó đã trở thành cơ sở vững chắc để tác giả trải lòng trên từng trang viết. Từ câu chuyện an toàn cho các chuyến bay, đến những chuyện thuộc bí mật nghề nghiệp trong ngành hàng không đều được tác giả chia sẻ để độc giả có thể hiểu hơn về hoạt động tìm kiếm cứu nạn hàng không; từ câu chuyện làm sao để giảm những chuyến bay chậm tới chuyện xây sân bay Long Thành mà thời gian gần đây đang là chủ đề nóng trên các diễn đàn, báo mạng và truyền hình, cũng được tác giả đưa ra nhiều dẫn chứng để phân tích, chứng minh.
Viết về các vấn đề xã hội, tác giả đã khai thác nhiều đề tài cũ bằng góc nhìn mới. Là một chuyên gia trong lĩnh vực hàng không, nhưng tác giả luôn đau đáu với những vấn đề liên quan đến sự phát triển hay những mặt còn tồn tại trong đời sống văn hóa của đất nước. Từ văn hóa xếp hàng tới tư duy mạng nhện, từ văn hóa khi tham gia giao thông tới việc quảng bá du lịch nước nhà đều được tác giả dựa trên những quan sát, trải nghiệm, so sánh giữa Việt Nam với các nước trong khu vực và trên thế giới...
Có thể lấy lời nhận xét của nhà báo Trần Đăng Tuấn, Tổng giám đốc Đài truyền hình An Viên để có được một hình dung rõ ràng hơn về cuốn sách: “Đọc cuốn sách này, sẽ thấy một Lương Hoài Nam – nhà báo chuyên nghiệp.
Một trong các phẩm chất của nhà báo chuyên nghiệp là không từ chối các đề tài, một khi nó đến từ cuộc sống. Không phải nhà báo chọn đề tài, mà cuộc sống “bắt” nhà báo phải viết về cái gì. Mức độ phong phú của các lĩnh vực đề tài tác giả viết khiến bất cứ nhà báo chuyên nghiệp nào cũng có thể phải ghen tỵ: đường sắt, hàng không, xe máy, an toàn giao thông, nợ xấu, thương hiệu, mạng nhện dây diện, thị trường bất động sản, công nghiệp ô tô ở Việt Nam, và nhiều nhất là giáo dục.”
Mời bạn đón đọc.",Kẻ Trăn Trở,84000,https://www.vinabook.com/images/thumbnails/product/240x/292605_p79998mp65497mbiaketrantroout01.jpg,Lương Hoài Nam,,Nxb Thế giới,Thái Hà,1130000079998,440.0,Tiếng Việt,Bìa mềm,14.0,20.5,17/09/2015,460
6,nghiep-vu-bao-chi,"Tư tưởng Hồ Chí Minh về báo chí là một nội dung quan trọng, một thành tố không thể tách rời trong tư tưởng Hồ Chí Minh. Sự nghiệp báo chí Hồ Chí Minh gắn liền với sự nghiệp cách mạng, để lại những thành công và bài học kinh nghiệm quý báo cho những người làm báo hôm nay.
Cuốn sách ""Nhà báo và sáng tạo báo chí trong tư tưởng Hồ Chí Minh"" của Tiến sĩ Đỗ Chí Nghĩa đi vào hai nội dung trong tư tưởng Hồ Chí Minh về báo chí là nhà báo và phương pháp sáng tạo báo chí. 
Đây là nội dung rất cơ bản trong tư tưởng Hồ Chí Minh về báo chí, song vì nhiều lí do còn chưa được đi sâu, khai thác và phân tích thấu đáo. Hy vọng cuốn sách này sẽ đưa đến cho bạn đọc, nhất là các nhà báo, các nhà nghiên cứu và sinh viên báo chí những gợi mở cần thiết để làm sâu sắc thêm tư tưởng của Bác về báo chí, góp phần giải đáp những vấn đề nóng bỏng của thực tiễn báo chí hôm nay.
Mời bạn đón đọc.",Nhà Báo Và Sáng Tạo Báo Chí Trong Tư Tưởng Hồ Chí Minh,30000,https://www.vinabook.com/images/thumbnails/product/240x/288984_p79474mp59000mbiatruoc.jpg,Đỗ Chí Nghĩa,,Nxb Thông tin & truyền thông,NXB Thông Tin và Truyền Thông,1130000079474,264.0,,Bìa mềm,14.5,20.5,06/2014,208
7,nghiep-vu-bao-chi,"Trong thời đại bùng nổ thông tin như hiện nay khi máy tính, mạng Internet, các phương tiện truyền thông trực tuyến đã trở thành những công cụ không thể thiếu của những phóng viên thế hệ mới. Xu hướng tích hợp báo in, truyền hình và báo trực tuyến chung một tòa soạn đang phổ biến trên thế giới đã buộc những người làm báo phải đa năng hơn xưa bội phần và báo chí buộc phải thay đổi cách xử lý thông tin nếu không muốn xa rời công chúng. Nhà báo hiện đại là cuốn cẩm nang vào nghề mới nhất dành cho các nhà báo trẻ, là tài liệu tham khảo bổ ích cho cho những người làm quan hệ công chúng và tất cả những ai muốn tìm hiểu về nghề báo.
Mời bạn đón đọc.",Nhà Báo Hiện Đại - Tái bản 09/2014,94800,https://www.vinabook.com/images/thumbnails/product/240x/288777_p79425mp59722mbiatruoc.jpg,The Missouri Group,Nhiều dịch giả,Nxb Trẻ,NXB Trẻ,1130000079425,594.0,,Bìa mềm,16.0,24.0,09/2014,464
8,nghiep-vu-bao-chi,"Quyển sách là kết quả dày công nghiên cứu của tác giả về nền báo chí Nam bộ. Qua những bài báo xưa, ta sẽ có cái nhìn bao quát về xã hội Nam kỳ cuối thế kỷ 19, khi thực dân Pháp đã hoàn thành công cuộc xâm chiếm nước ta, về sự đổi thay từng ngày của miền đất này, cách người dân loay hoay kiếm sống trong tình hình mới, nạn cờ bạc, đề đóm gây hại thế nào,… Hơn thế nữa, chúng ta cũng sẽ hiểu hơn những cuộc kháng chiến của nhân dân, về những người bị chính quyền thuộc địa coi là “giặc”, những cuộc nổi dậy có thể không lớn mạnh nhưng chưa bao giờ im tiếng.
Mời bạn đón đọc.",Báo Quấc Ngữ Ở Sài Gòn Cuối Thế Kỷ 19,45000,https://www.vinabook.com/images/thumbnails/product/240x/287850_p79298mp64269mbisatruoc.jpg,Trần Nhật Vy,,Nxb Trẻ,NXB Trẻ,1130000079298,264.0,Tiếng Việt,Bìa mềm,14.0,20.0,27/06/2015,272
9,nghiep-vu-bao-chi,"Gia Định Báo - một hiện tượng văn hóa, văn học và ngôn ngữ bằng chữ Quốc ngữ đầu tiên. Nếu di sản văn hóa vật thể của Pháp (tạm gọi thế) như đường hỏa xa xuyên Việt đến nay còn khả dụng, thì Gia Định Báo - một di sản văn hóa phi vật thể - xuất hiện từ đầu thời Pháp thống trị cũng sẽ giúp ta hiểu được khúc quanh lịch sử của đất nước ta: từ phong kiến Á Đông chuyển sang chế độ thuộc địa nửa phong kiến, cụ thể là nước ta bị Pháp cai trị và bắt đầu sử dụng Quốc ngữ Latin đồng thời học tập theo khoa học thực nghiệm Tây phương.Ngày 15/4/1865, Gia Định Báo – tờ báo Việt ngữ đầu tiên chính thức ra mắt tại Sài Gòn. Khởi thủy là một tờ công báo tiếng Pháp của Soái phủ Nam kỳ (Courrier de Saigon, ấn hành năm 1864) dịch ra chữ Quốc ngữ, những ấn bản Gia Định Báo ban đầu có hình thức đơn giản, chỉ thuần thông tin công vụ, đăng tải công văn, nghị định của chính quyền thuộc địa. Tuy nhiên, trải qua 44 năm tồn tại (15/4/1865 – 31/12/1909), tờ công báo in bằng chữ Quốc ngữ này đã có những bước hoàn thiện, cách tân mạnh mẽ để trở thành một tờ báo thành một tờ báo đại chúng, phục vụ nhu cầu thông tin – giao tiếp, mở mang kiến thức – kỹ năng và thư giãn – giải trí cho người dân, đảm bảo cả hình thức lẫn nội dung thông tin, từ cách tổ chức đến vận hành tòa soạn, xứng đáng trở thành cột mốc đánh dấu sự ra đời của nền báo chí Việt Nam.Trong hơn 40 năm tồn tại (1865 – 1909), Gia Định Báo đã có những tác động, ảnh hưởng nhiều mặt đến đời hóa xã hội đương thời. Không những thế, Gia Định Báo còn đặt nền móng cho sự phát triển của chữ Quốc ngữ, báo chí Quốc ngữ, văn xuôi Quốc ngữ sau này, làm tiền đề quan trọng dẫn đến cuộc canh tân toàn diện và sâu sắc nền báo chí và văn học dân tộc diễn ra sôi động trong những năm 1932-1945. Có thể nói, cùng với độ lùi thời gian, dấu ấn của Gia Định Báo trong lịch sử càng đậm nét. Vì vậy, tìm hiểu, nghiên cứu về Gia Định Báo và những vấn đề liên quan vừa là nhu cầu vừa là thách thức đối với nhiều người thuộc nhiều lĩnh vực khác nhau. Ngoài yếu tố lịch sử, phân tích từng chức năng cụ thể của Gia Định Báo thì những đoạn trích bài viết từng được đăng trên công báo của những nhà báo tiên phong lúc bấy giờ.Gia Định Báo là tờ báo Quốc ngữ đầu tiên và cũng là tờ báo được định hướng rất rõ ràng trong việc phổ biến chữ Quốc ngữ cho dân chúng. Bởi vì, Gia Định Báo là tờ báo Quốc ngữ đầu tiên đã mang lại cho nền văn học nước nhà một luồng gió mới làm thay đổi những nề nếp cũ có quá nhiều ảnh hưởng Trung Hoa, cũng như tạo cho người dân Việt Nam một cách sống mới, hiểu biết dần thời cuộc, ý thức tham gia chính sự.Mời bạn đón đọc.
Gia Định Báo - một hiện tượng văn hóa, văn học và ngôn ngữ bằng chữ Quốc ngữ đầu tiên. Nếu di sản văn hóa vật thể của Pháp (tạm gọi thế) như đường hỏa xa xuyên Việt đến nay còn khả dụng, thì Gia Định Báo - một di sản văn hóa phi vật thể - xuất hiện từ đầu thời Pháp thống trị cũng sẽ giúp ta hiểu được khúc quanh lịch sử của đất nước ta: từ phong kiến Á Đông chuyển sang chế độ thuộc địa nửa phong kiến, cụ thể là nước ta bị Pháp cai trị và bắt đầu sử dụng Quốc ngữ Latin đồng thời học tập theo khoa học thực nghiệm Tây phương.
Ngày 15/4/1865, Gia Định Báo – tờ báo Việt ngữ đầu tiên chính thức ra mắt tại Sài Gòn. Khởi thủy là một tờ công báo tiếng Pháp của Soái phủ Nam kỳ (Courrier de Saigon, ấn hành năm 1864) dịch ra chữ Quốc ngữ, những ấn bản Gia Định Báo ban đầu có hình thức đơn giản, chỉ thuần thông tin công vụ, đăng tải công văn, nghị định của chính quyền thuộc địa. Tuy nhiên, trải qua 44 năm tồn tại (15/4/1865 – 31/12/1909), tờ công báo in bằng chữ Quốc ngữ này đã có những bước hoàn thiện, cách tân mạnh mẽ để trở thành một tờ báo thành một tờ báo đại chúng, phục vụ nhu cầu thông tin – giao tiếp, mở mang kiến thức – kỹ năng và thư giãn – giải trí cho người dân, đảm bảo cả hình thức lẫn nội dung thông tin, từ cách tổ chức đến vận hành tòa soạn, xứng đáng trở thành cột mốc đánh dấu sự ra đời của nền báo chí Việt Nam.
Trong hơn 40 năm tồn tại (1865 – 1909), Gia Định Báo đã có những tác động, ảnh hưởng nhiều mặt đến đời hóa xã hội đương thời. Không những thế, Gia Định Báo còn đặt nền móng cho sự phát triển của chữ Quốc ngữ, báo chí Quốc ngữ, văn xuôi Quốc ngữ sau này, làm tiền đề quan trọng dẫn đến cuộc canh tân toàn diện và sâu sắc nền báo chí và văn học dân tộc diễn ra sôi động trong những năm 1932-1945. Có thể nói, cùng với độ lùi thời gian, dấu ấn của Gia Định Báo trong lịch sử càng đậm nét. Vì vậy, tìm hiểu, nghiên cứu về Gia Định Báo và những vấn đề liên quan vừa là nhu cầu vừa là thách thức đối với nhiều người thuộc nhiều lĩnh vực khác nhau. Ngoài yếu tố lịch sử, phân tích từng chức năng cụ thể của Gia Định Báo thì những đoạn trích bài viết từng được đăng trên công báo của những nhà báo tiên phong lúc bấy giờ.
Gia Định Báo là tờ báo Quốc ngữ đầu tiên và cũng là tờ báo được định hướng rất rõ ràng trong việc phổ biến chữ Quốc ngữ cho dân chúng. Bởi vì, Gia Định Báo là tờ báo Quốc ngữ đầu tiên đã mang lại cho nền văn học nước nhà một luồng gió mới làm thay đổi những nề nếp cũ có quá nhiều ảnh hưởng Trung Hoa, cũng như tạo cho người dân Việt Nam một cách sống mới, hiểu biết dần thời cuộc, ý thức tham gia chính sự.",Gia Định Báo - Tờ Báo Việt Ngữ Đầu Tiên,84000,https://www.vinabook.com/images/thumbnails/product/240x/284189_p78758mbiatruoc.jpg,Nhiều tác giả,,NXB Văn hóa - Văn nghệ,NXB Văn Hóa Văn Nghệ,9786046839897,528.0,Tiếng Việt,Bìa mềm,16.0,24.0,12/2017,340
